impact_id,asset_id,business_unit_id,revenue_per_hour,downtime_cost_per_hour,customer_impact_cost,data_record_cost,regulatory_penalty_estimate,legal_cost_estimate,recovery_cost_estimate,reputation_impact_cost,productivity_loss_per_hour,maximum_tolerable_loss,estimated_total_impact
IMP-002914,AST-02914,BU-0009,41644,55271,16497,8252,14227,10886,419526,2707949,26810,2577760,4495589
IMP-002915,AST-02915,BU-0075,6888,12568,149,4825,208179,103389,69659,876306,4172,12686399,1559314
IMP-002916,AST-02916,BU-0107,64483,88392,4471,12043,22493807,6958325,1218974,38075602,46717,168441560,70872587
IMP-002917,AST-02917,BU-0122,642,1211,61,21567,29306,20704,20745,64646,229,881891,164526
IMP-002918,AST-02918,BU-0103,911975,1603817,397269,24013,2494413,1418449,8292654,39713304,726437,153751723,90807697
IMP-002919,AST-02919,BU-0084,3779,4919,1413,3519,70262,22492,81863,99511,1457,537449,393597
IMP-002920,AST-02920,BU-0074,139906,246860,22838,23527,2594015,1838411,4824280,8341412,92394,8645648,23545596
IMP-002921,AST-02921,BU-0084,5913,10481,713,15489,11133,8836,161429,58614,4377,463075,492269
IMP-002922,AST-02922,BU-0137,1194349,1507576,336749,19982,3843582,1924617,28206782,53582217,421231,31300251,124075771
IMP-002923,AST-02923,BU-0125,3745,4963,587,5517,888204,539514,97339,824526,2879,5561467,2469282
IMP-002924,AST-02924,BU-0003,685989,1141950,115987,6243,0,0,21493299,25264479,322922,70363026,74280565
IMP-002925,AST-02925,BU-0119,12863,22824,4647,6937,2777856,865059,277092,1602430,8356,26617836,6074860
IMP-002926,AST-02926,BU-0083,131621,261314,59402,6344,12356974,6170734,1500088,32012343,61344,202721388,58371077
IMP-002927,AST-02927,BU-0051,4271,7965,399,16907,38550,23809,138098,745643,1438,4707495,1137659
IMP-002928,AST-02928,BU-0142,14793,28041,3583,18991,4191179,1688134,306471,4294634,6274,168010936,11156985
IMP-002929,AST-02929,BU-0141,41913,76679,6603,12302,9910229,6131583,1019900,7246444,32033,127208975,26155055
IMP-002930,AST-02930,BU-0148,70,132,6,21457,950,550,1189,24762,50,111566,30625
IMP-002931,AST-02931,BU-0138,788271,1044693,120117,15057,1431220,1045257,20670557,60824218,599594,48271219,109164001
IMP-002932,AST-02932,BU-0101,5342,9713,971,15384,2029,1393,133370,331730,2135,270032,702605
IMP-002933,AST-02933,BU-0072,87818,137455,32963,22160,238083,108549,1980898,2876814,56491,8034509,8536227
IMP-002934,AST-02934,BU-0135,45175,69853,8568,14362,1970770,1424070,1361367,1861831,29314,34942485,8303078
IMP-002935,AST-02935,BU-0103,59877,109446,2800,5101,5689038,3768793,1265562,14898065,42794,90640111,28250962
IMP-002936,AST-02936,BU-0100,4274,5953,527,23211,21955,13145,84022,395673,1724,436870,658194
IMP-002937,AST-02937,BU-0121,6271,10245,2168,4613,33326,13490,150191,391346,2254,526710,836401
IMP-002938,AST-02938,BU-0078,57913,89020,17614,4447,6507071,3613292,1220989,22964024,45625,217252671,36459470
IMP-002939,AST-02939,BU-0106,1980553,2439904,0,21053,9561753,5162908,20509477,83066906,804009,49232472,176858740
IMP-002940,AST-02940,BU-0151,79,110,8,14860,4647,2109,750,28009,42,179831,38163
IMP-002941,AST-02941,BU-0001,551945,663622,72590,20987,2679471,1693116,4219025,9324642,232317,90777926,33915772
IMP-002942,AST-02942,BU-0091,49796,84220,0,5584,10211223,3963404,727662,4193223,24680,85055472,21116792
IMP-002943,AST-02943,BU-0071,43909,54348,8905,4935,1672373,1065131,882056,10911313,33597,9928179,15844130
IMP-002944,AST-02944,BU-0094,926757,1836331,353088,21843,10894908,4637932,31476976,77255622,396392,52318508,168690470
IMP-002945,AST-02945,BU-0145,628697,1206281,55888,5137,550241,293372,10133018,31203865,320997,107407525,71187128
IMP-002946,AST-02946,BU-0113,16066,27883,683,20530,485246,203115,392957,6684406,9882,29961817,8435599
IMP-002947,AST-02947,BU-0004,488866,751616,55730,6341,3098784,1401943,12483126,67435903,217910,46084390,102514270
IMP-002948,AST-02948,BU-0114,10041,18880,4809,7107,1694158,681423,138552,5583030,3481,13115448,8555092
IMP-002949,AST-02949,BU-0078,758137,1483909,167398,6994,9340589,6020780,16072312,22432746,391064,46756017,89647641
IMP-002950,AST-02950,BU-0097,237,310,36,14886,24482,16292,4342,102587,138,248114,155179
IMP-002951,AST-02951,BU-0140,825936,1127355,192815,7740,5147292,2125152,13477334,39359137,345386,45242281,87358250
IMP-002952,AST-02952,BU-0028,4869,9240,457,21239,54952,20341,91428,347301,3233,7556858,736239
IMP-002953,AST-02953,BU-0097,83,142,22,7268,12843,9106,2409,18420,59,507240,46208
IMP-002954,AST-02954,BU-0016,27628,36119,4944,24612,1631203,1172557,245842,897851,12663,6065010,4819253
IMP-002955,AST-02955,BU-0111,346418,676681,68130,19127,1150260,395144,6172200,35732694,157142,40828405,59758772
IMP-002956,AST-02956,BU-0104,1119242,2128919,681710,12923,14967705,7724995,42371993,113649390,429379,192387425,230489849
IMP-002957,AST-02957,BU-0139,53082,103651,4826,18062,162474,118796,1098050,20853552,28071,52025706,24725322
IMP-002958,AST-02958,BU-0024,53872,103232,31291,17284,2103346,1057205,2038422,10414209,31639,13654389,18122041
IMP-002959,AST-02959,BU-0110,994882,1976024,128080,19495,631545,250197,27353905,52465172,303886,164010546,128253475
IMP-002960,AST-02960,BU-0007,34703,52775,13808,14959,112736,81151,862595,3300167,25664,3367175,5637057
IMP-002961,AST-02961,BU-0117,1531,2681,309,22324,60095,27789,53087,12120010,1086,22946019,12325634
IMP-002962,AST-02962,BU-0105,36847,61961,14572,23231,5807609,4072670,825288,24203866,21814,63012260,36411069
IMP-002963,AST-02963,BU-0011,35522,42854,17722,16573,713313,288613,561668,2359967,11592,7003979,4969779
IMP-002964,AST-02964,BU-0051,131527,227952,5210,7107,1318482,529051,1889249,4602076,94338,12699788,13814916
IMP-002965,AST-02965,BU-0058,2459,4726,231,20320,287752,186015,85270,2616219,1051,6937144,3288911
IMP-002966,AST-02966,BU-0133,2644,4836,280,11902,1031367,766019,28212,774271,2022,25512091,2716213
IMP-002967,AST-02967,BU-0114,15062,22676,1189,11201,433367,305687,247001,839312,5687,23151297,2370780
IMP-002968,AST-02968,BU-0144,1233,1852,44,23893,15256383,12092988,18021,4917642,525,51890146,32329526
IMP-002969,AST-02969,BU-0144,119165,206226,41317,11052,8651989,3266793,1522581,9420909,49403,114619183,27853013
IMP-002970,AST-02970,BU-0127,37275,67201,16910,3978,451101,340236,1317657,479436,16455,4490493,4218164
IMP-002971,AST-02971,BU-0078,110562,162239,19495,21565,1099483,450435,1665630,20849083,54149,115219229,27977862
IMP-002972,AST-02972,BU-0151,2532,3782,64,9688,56205,42839,37052,101937,1055,160491,328865
IMP-002973,AST-02973,BU-0127,37445,74151,5110,3633,590984,377539,1475138,2436841,21624,3529584,6665236
IMP-002974,AST-02974,BU-0009,4078,5189,699,6462,1377,959,44816,609673,2495,3420970,782060
IMP-002975,AST-02975,BU-0141,1047829,1570824,115661,17191,25899427,18733327,18869499,159439440,652345,142420288,260757130
IMP-002976,AST-02976,BU-0092,738639,1264304,109329,13914,5080764,1832088,13318548,23549514,548544,107620858,74233539
IMP-002977,AST-02977,BU-0003,23655,40961,1673,11893,4525740,1371219,377882,3376766,13632,112741654,10636344
IMP-002978,AST-02978,BU-0100,2849,4094,593,13859,17983,5830,51684,47761,985,387392,222107
IMP-002979,AST-02979,BU-0124,2289,4142,1347,21735,87023,37249,73722,384012,1537,969350,682761
IMP-002980,AST-02980,BU-0138,74315,110562,2170,19912,3173386,2072126,842249,15589513,23792,101759947,24332932
IMP-002981,AST-02981,BU-0085,7417,13274,8571,17808,101194,76797,174737,555932,4677,530101,1235807
IMP-002982,AST-02982,BU-0152,185,333,52,24335,11501,4356,1690,73249,139,246031,98840
IMP-002983,AST-02983,BU-0007,40342,71786,8725,21517,101340,42402,1231800,1554049,20757,2034598,4661180
IMP-002984,AST-02984,BU-0058,64558,80028,20368,19007,596699,385960,857753,4666458,20738,10912948,8447910
IMP-002985,AST-02985,BU-0050,7652,14597,3165,14780,1419,810,252634,529955,2696,1586202,1138311
IMP-002986,AST-02986,BU-0134,290882,369322,40152,15251,95932,66936,2204489,21838366,107913,30314246,33109603
IMP-002987,AST-02987,BU-0012,63940,101443,9435,9869,36815,19167,543054,4382182,29241,7325102,7425285
IMP-002988,AST-02988,BU-0065,115199,156378,41331,22509,272251,136582,2449950,2577373,84369,4325977,9230559
IMP-002989,AST-02989,BU-0033,156106,234912,43016,23815,534020,324142,3524930,3261692,85102,13964185,13325688
IMP-002990,AST-02990,BU-0005,496751,740785,240001,6040,4424235,2188174,4273030,34992072,341533,104135737,63896352
IMP-002991,AST-02991,BU-0053,35280,62768,2313,13670,1010417,498838,361938,2315419,24529,3723987,5695357
IMP-002992,AST-02992,BU-0112,96395,171668,34304,24429,4707616,2689153,2464611,22582023,36745,34700801,36597739
IMP-002993,AST-02993,BU-0074,104607,157201,7647,4331,1301855,800741,2391392,2444031,40209,8760745,10718490
IMP-002994,AST-02994,BU-0004,402132,784719,74256,21201,2923086,1581902,11424150,22239987,187992,109616726,57076637
IMP-002995,AST-02995,BU-0120,6125,8743,1829,22430,1549635,532154,104215,9198720,2452,20869836,11596385
IMP-002996,AST-02996,BU-0072,19802,28625,15284,14411,314283,207958,277487,2558042,7309,13160317,4060054
IMP-002997,AST-02997,BU-0055,94390,116738,0,7019,886586,704627,2073820,1784113,49644,8561567,8250858
IMP-002998,AST-02998,BU-0070,109772,144635,2548,7497,688700,296826,2375810,2972681,87410,18847737,9807805
IMP-002999,AST-02999,BU-0089,531156,861503,47335,13536,1941071,1239263,13238928,20924123,305441,89226210,58066792
IMP-003000,AST-03000,BU-0015,111829,144743,42551,7992,202044,150655,967045,6854980,65611,5983949,11691107
IMP-003001,AST-03001,BU-0052,2600,3529,26,20383,1326058,772968,31837,738415,1964,8567224,2954000
IMP-003002,AST-03002,BU-0006,14055,27282,2788,14739,177305,80324,454503,1131149,6035,1120308,2500837
IMP-003003,AST-03003,BU-0103,64483,79989,13789,20208,4397911,2752976,523106,5726930,33306,183249882,15334448
IMP-003004,AST-03004,BU-0049,519,895,72,23361,170835,112657,14980,82391,158,674222,402415
IMP-003005,AST-03005,BU-0121,15429,29586,3361,11843,117520,75190,513993,1437085,11270,1361836,2857213
IMP-003006,AST-03006,BU-0026,83693,119674,0,14453,1186634,389494,2344428,11867693,29487,10223110,18660425
IMP-003007,AST-03007,BU-0127,2298,4041,627,5236,189300,96841,58938,137113,1609,2637939,579803
IMP-003008,AST-03008,BU-0119,188347,330970,24156,15014,4689412,2021876,4194214,26959534,108670,64806398,45832472
IMP-003009,AST-03009,BU-0085,73,115,14,24359,126070,83574,2046,53393,26,724775,267857
IMP-003010,AST-03010,BU-0033,59281,112822,3593,19590,960963,424684,1385782,3058500,43764,5401905,8541250
IMP-003011,AST-03011,BU-0118,220504,292821,166211,6448,371444,170733,3515000,30001257,139369,56444138,41252349
IMP-003012,AST-03012,BU-0016,59993,98624,521,20462,999113,348471,1001389,4881715,39068,2992023,9598185
IMP-003013,AST-03013,BU-0043,109,170,15,6787,59748,30212,2075,46667,58,1994925,142797
IMP-003014,AST-03014,BU-0082,1210913,1850020,466722,18642,10129216,6586472,28582019,40081291,948732,119421472,130246200
IMP-003015,AST-03015,BU-0058,51647,102975,18568,20001,210283,87439,1794958,7179503,35846,4633450,11762151
IMP-003016,AST-03016,BU-0015,9736,15009,1641,6655,248848,79634,297201,817104,5469,11256302,1804644
IMP-003017,AST-03017,BU-0016,70255,97873,13864,15214,881705,296642,551136,3987331,49566,7186212,8079630
IMP-003018,AST-03018,BU-0132,257827,404619,246536,21969,1566064,847282,4892240,4918986,82785,39687196,22181964
IMP-003019,AST-03019,BU-0040,747775,1150694,304980,18013,915713,705975,7995547,66830980,439018,52961159,104369851
IMP-003020,AST-03020,BU-0075,5596,6852,2085,11492,1404757,650432,58122,3168751,2576,18155294,5448595
IMP-003021,AST-03021,BU-0054,52611,90728,7026,9409,1229932,821150,554314,13026972,19687,4202640,17816866
IMP-003022,AST-03022,BU-0061,51647,78144,5335,5987,715105,452716,396649,1331522,31244,8791418,4776783
IMP-003023,AST-03023,BU-0046,615,1026,79,8764,113132,47057,19787,61961,228,1071586,266640
IMP-003024,AST-03024,BU-0042,583879,735113,105317,8565,1274753,528563,6675305,75785170,384273,139834039,102011820
IMP-003025,AST-03025,BU-0111,45185,66276,5037,7121,453881,196255,580734,8038736,31534,24497241,10865267
IMP-003026,AST-03026,BU-0088,5852,9240,2274,17548,74157,55170,54185,138601,2066,632238,546147
IMP-003027,AST-03027,BU-0049,2141,4081,346,3848,1903,1061,52868,379602,1464,433669,533724
IMP-003028,AST-03028,BU-0122,348,553,158,21628,36492,26225,8505,205778,172,1415640,290430
IMP-003029,AST-03029,BU-0115,50205,62958,18456,4654,3616198,2555715,682071,8388965,32964,17823977,16772397
IMP-003030,AST-03030,BU-0088,264,384,32,21763,7170,5324,3044,50871,190,728072,75657
IMP-003031,AST-03031,BU-0148,1899,3368,243,17806,39162,12709,33872,139255,1327,206368,306073
IMP-003032,AST-03032,BU-0098,475,643,71,23778,15826,10076,12001,34250,263,325880,87656
IMP-003033,AST-03033,BU-0106,2279938,3643254,366643,22244,7726471,3430008,52265176,199920772,1351071,93933129,351147166
IMP-003034,AST-03034,BU-0026,2009,3924,506,3980,476092,354820,40695,248817,1580,11706087,1215106
IMP-003035,AST-03035,BU-0017,1263,1889,548,16797,616226,220129,13941,109067,953,4465324,1005247
IMP-003036,AST-03036,BU-0148,844,1577,70,21461,25155,16849,25099,118598,384,255971,223619
IMP-003037,AST-03037,BU-0067,8749,10838,1451,3066,700692,411522,78499,2168629,5178,16237100,3620905
IMP-003038,AST-03038,BU-0116,404258,541818,45985,18566,1460518,845797,9542934,11865040,268061,19451229,36763906
IMP-003039,AST-03039,BU-0143,1561470,2650590,993575,17474,8322167,5962074,28615416,133364393,874203,145031989,240871785
IMP-003040,AST-03040,BU-0127,2502,4688,548,22594,413874,143645,87353,58129,1694,2534209,816061
IMP-003041,AST-03041,BU-0081,100032,125227,10387,12814,5166353,3988567,2364164,24769455,62582,154939755,39304374
IMP-003042,AST-03042,BU-0017,3789,6494,1231,5409,155973,92490,54892,449726,1373,10003777,910168
IMP-003043,AST-03043,BU-0098,1104,1539,414,13223,8499,5374,18332,113897,688,492679,183452
IMP-003044,AST-03044,BU-0120,919,1337,304,3480,1326306,696764,9836,3559728,368,43213919,5625026
IMP-003045,AST-03045,BU-0135,176292,284371,34625,4863,7000461,2506448,1782110,35053397,74649,42257924,53201945
IMP-003046,AST-03046,BU-0083,821315,1162321,203901,16336,6774830,4758307,14909326,87628470,297478,219743616,142170538
IMP-003047,AST-03047,BU-0014,6052,8151,1011,14910,340023,145566,101146,1740545,2103,5363609,2523915
IMP-003048,AST-03048,BU-0142,59172,113094,0,24380,2497631,1413943,905640,5606268,23609,140168059,13137738
IMP-003049,AST-03049,BU-0067,14582,19309,2946,12530,534278,416195,280658,1143670,5044,4716012,2841163
IMP-003050,AST-03050,BU-0075,72321,105076,15929,4497,1304752,929668,939330,4450167,40907,4862843,10161670
IMP-003051,AST-03051,BU-0145,90401,168737,85256,14136,4609020,3279571,2869454,7256605,61300,62124117,22149594
IMP-003052,AST-03052,BU-0139,63699,111493,23424,6942,200553,153201,1797009,15846299,32518,70206857,20696318
IMP-003053,AST-03053,BU-0152,220,272,78,8017,8797,4793,2599,32217,144,103719,55012
IMP-003054,AST-03054,BU-0146,899900,1416047,383354,8073,25296464,11324487,18718844,28134948,655881,131187874,117843225
IMP-003055,AST-03055,BU-0149,3955,4812,1381,9707,3927,2924,90942,203964,2377,84821,418626
IMP-003056,AST-03056,BU-0079,236918,418879,19731,11551,6350194,4855416,2378244,15651222,79799,81586122,39307903
IMP-003057,AST-03057,BU-0059,77470,106027,50403,24696,1338993,785124,1645678,7868239,36699,8193432,14233085
IMP-003058,AST-03058,BU-0042,553149,928828,284086,17826,7211508,5313287,14794867,88058473,381779,63446292,137954093
IMP-003059,AST-03059,BU-0105,497441,841591,148605,22653,8974342,6339139,14245600,82819512,202211,104010577,132725382
IMP-003060,AST-03060,BU-0095,47029,71160,8135,21939,5372670,1725108,365238,15473497,25665,46414730,24652488
IMP-003061,AST-03061,BU-0027,10956,14746,513,23589,254823,77025,239407,1992787,3875,9593129,2918459
IMP-003062,AST-03062,BU-0102,3099,5828,995,18407,68509,38793,34481,263504,1924,270118,546154
IMP-003063,AST-03063,BU-0100,4749,5712,334,5546,8822,4050,112116,431209,2598,182913,693619
IMP-003064,AST-03064,BU-0098,344,629,30,24042,13609,4960,8443,46496,152,370482,88634
IMP-003065,AST-03065,BU-0039,12292,24508,2242,13448,3630124,1375264,216169,6813316,4263,79614552,12625307
IMP-003066,AST-03066,BU-0051,8356,14177,1725,5432,1204609,880875,82575,680718,6028,9557925,3190750
IMP-003067,AST-03067,BU-0048,9565,13981,524,19323,808,628,137408,596005,2934,463532,1070917
IMP-003068,AST-03068,BU-0105,1133060,1445288,378114,5128,14670207,5811338,18898818,86819630,623289,97867944,161265019
IMP-003069,AST-03069,BU-0013,789,1502,362,7113,861532,578036,12051,957203,443,6398773,2445232
IMP-003070,AST-03070,BU-0137,464469,832560,46088,24941,939649,664814,7547623,112275420,232710,65528184,141455034
IMP-003071,AST-03071,BU-0006,442,770,27,7783,5750,3362,4637,164086,285,2341148,196342
IMP-003072,AST-03072,BU-0145,591715,1081237,69950,14013,15208200,6934517,16846043,39183742,268153,95197160,104192140
IMP-003073,AST-03073,BU-0011,68676,123511,22028,22263,688839,471179,1513640,4159139,50546,2503275,9819089
IMP-003074,AST-03074,BU-0127,68082,118001,3562,9802,397304,282016,736959,2550246,48856,7075355,6802111
IMP-003075,AST-03075,BU-0103,594166,933717,643120,10073,21166639,7586671,13277667,108890015,295548,161801841,173973320
IMP-003076,AST-03076,BU-0146,25888,47178,6306,8457,3916629,1437433,494312,2866116,16335,172202225,9853068
IMP-003077,AST-03077,BU-0097,5639,7592,2482,7745,34621,21377,143683,426633,4119,322833,811004
IMP-003078,AST-03078,BU-0026,101953,197860,21149,21825,1087605,431997,2762115,10163556,60520,5418266,19215062
IMP-003079,AST-03079,BU-0146,1356014,2533810,535717,21609,2746890,2159610,23640979,115418444,947473,64909524,205313080
IMP-003080,AST-03080,BU-0032,29216,51114,5660,24234,1749917,1278246,597448,5086047,17135,5701240,9944054
IMP-003081,AST-03081,BU-0131,53989,91317,2535,9389,4133245,2097866,1741603,3149579,32369,34185074,13316436
IMP-003082,AST-03082,BU-0037,80622,111260,20253,5475,912435,569815,833406,6547837,49114,14028150,11553986
IMP-003083,AST-03083,BU-0055,72727,124003,9524,19651,314103,216756,1337772,11019776,37275,5087801,15874003
IMP-003084,AST-03084,BU-0112,259060,319869,168709,7427,3201926,1165480,5304682,13191412,195551,21101207,30709065
IMP-003085,AST-03085,BU-0146,973864,1507385,369880,22215,2743922,2094576,15218892,44263949,332249,151898442,100868459
IMP-003086,AST-03086,BU-0013,2631,3772,130,18320,583485,212143,61259,438869,856,11380364,1386414
IMP-003087,AST-03087,BU-0093,771836,1386799,233595,4678,4168725,3328024,18653199,33739869,411071,50098442,93406588
IMP-003088,AST-03088,BU-0009,35137,69900,24994,21776,349420,197478,552440,3475501,24866,1048559,6277433
IMP-003089,AST-03089,BU-0151,132,262,44,5903,32282,12837,4899,60092,70,203493,116442
IMP-003090,AST-03090,BU-0011,3684,4660,753,21992,454004,140739,33886,1051110,2659,3535428,1792332
IMP-003091,AST-03091,BU-0064,87493,147359,23409,22761,1557833,1063002,1484709,9517258,55041,20609450,17182827
IMP-003092,AST-03092,BU-0003,86734,153320,42114,22888,2598785,1027151,1967040,19838778,26390,44382963,29153548
IMP-003093,AST-03093,BU-0041,747775,1325309,1006501,3153,2182587,1389836,17723872,66697473,419768,122642334,120807685
IMP-003094,AST-03094,BU-0012,43416,71303,3105,24999,570232,454839,498994,1234548,20960,11025878,4472990
IMP-003095,AST-03095,BU-0036,593,958,136,17777,907830,534292,11707,966343,369,4688271,2443300
IMP-003096,AST-03096,BU-0130,247911,324454,82255,23540,4929715,2163978,4457595,8730918,149609,36940058,28151357
IMP-003097,AST-03097,BU-0089,730340,899809,144698,21057,564526,296554,9280463,34442547,530555,97757831,66324204
IMP-003098,AST-03098,BU-0150,3428,4977,0,11846,549,365,63741,115040,1672,294687,299143
IMP-003099,AST-03099,BU-0100,78,97,14,23829,31372,10811,1638,8235,61,505415,54398
IMP-003100,AST-03100,BU-0029,82171,110669,28764,14165,220010,145490,667576,8068998,54924,4480939,11786894
IMP-003101,AST-03101,BU-0007,14055,27211,8795,8025,184654,109827,158029,742251,4609,2527054,1856620
IMP-003102,AST-03102,BU-0147,2268,3161,345,4914,13034,5316,38783,125375,701,318652,258717
IMP-003103,AST-03103,BU-0099,2208,3661,550,21729,0,0,64111,269711,1641,440977,422236
IMP-003104,AST-03104,BU-0041,501931,796459,174928,23861,9924141,3305685,13506315,45130984,162263,66122159,91157069
IMP-003105,AST-03105,BU-0039,136580,199225,55364,6222,3588604,2657260,1813431,29335345,107586,108156362,42231404
IMP-003106,AST-03106,BU-0089,15769,23309,449,5023,7416325,5839991,383291,7078622,11814,66044954,21278094
IMP-003107,AST-03107,BU-0135,314021,562832,57515,16621,5865431,3053690,11102089,5451723,231230,43996636,39038416
IMP-003108,AST-03108,BU-0082,1137205,1932978,93858,14552,2322696,1134873,31636997,45074810,677917,83952186,126654706
IMP-003109,AST-03109,BU-0117,169972,235961,19227,21147,1715827,1189610,4625538,35622863,84204,18415194,48836129
IMP-003110,AST-03110,BU-0081,5265,9966,3499,22031,3324551,2301908,142299,30743230,2166,62464952,36754671
IMP-003111,AST-03111,BU-0080,1200384,1822743,521554,6354,6606756,3794863,33703720,13906833,582152,65882756,102279558
IMP-003112,AST-03112,BU-0074,120534,194482,81776,11776,178435,127571,3076314,12287398,76507,5505767,20419062
IMP-003113,AST-03113,BU-0040,973132,1432055,466884,4883,1123469,780284,24998766,42177624,426536,78133580,103916347
IMP-003114,AST-03114,BU-0078,1121411,2228772,350553,7958,3523340,2591421,43075102,91913926,451990,222353631,194944870
IMP-003115,AST-03115,BU-0065,102075,162808,5633,15523,1714958,811048,844228,8966258,71978,16016147,16249517
IMP-003116,AST-03116,BU-0128,74039,141541,60588,23267,569296,270439,2186885,4148828,40575,4488007,10633020
IMP-003117,AST-03117,BU-0057,62714,111360,39847,15361,547404,290077,1318961,2864075,32634,12637494,7733004
IMP-003118,AST-03118,BU-0138,15128,25537,3191,17062,6618175,5132880,442181,6530731,9798,34113260,19340046
IMP-003119,AST-03119,BU-0010,6841,9898,7171,19254,1381453,936289,123334,397146,3066,5059916,3082945
IMP-003120,AST-03120,BU-0098,1140,1374,148,4991,3192,1435,9527,99090,750,426904,146368
IMP-003121,AST-03121,BU-0096,85760,162378,35914,18027,5086672,3132562,1987878,8166685,45351,73879940,22306783
IMP-003122,AST-03122,BU-0079,1790046,2670346,504330,18337,4503730,2677131,13411576,103294261,1270640,117222826,188479332
IMP-003123,AST-03123,BU-0119,39813,54458,1200,19225,5403827,2029330,395141,2122989,17939,19731088,11259479
IMP-003124,AST-03124,BU-0110,105937,165718,23049,17167,2098326,1346943,2020665,38975533,76964,122076800,48441748
IMP-003125,AST-03125,BU-0151,2637,4266,723,13856,2564,1006,40350,134122,960,274111,281149
IMP-003126,AST-03126,BU-0087,102,155,34,4970,1642,851,2891,69466,43,708134,78604
IMP-003127,AST-03127,BU-0136,7166,13607,255,7448,8785358,5008684,261992,1077144,4361,66281240,15460001
IMP-003128,AST-03128,BU-0002,1077607,1778443,271637,15088,4167152,3144701,10768632,62054756,829241,49840127,123089510
IMP-003129,AST-03129,BU-0009,25160,37729,2792,9272,76526,41879,477956,1900099,10875,1535139,3404748
IMP-003130,AST-03130,BU-0059,461,917,100,16628,1819420,972902,17230,325392,360,13208539,3157052
IMP-003131,AST-03131,BU-0059,40579,74001,15439,21729,559060,293424,857040,1149030,32093,6470780,4650017
IMP-003132,AST-03132,BU-0095,1341723,1779865,412901,12130,7614081,5067018,16771949,17028995,697550,93661130,89611704
IMP-003133,AST-03133,BU-0057,2490,3355,986,18532,549351,286650,54198,478739,1764,7518327,1450444
IMP-003134,AST-03134,BU-0118,0,0,0,12723,2660290,1450346,0,11770314,0,37013074,15880950
IMP-003135,AST-03135,BU-0127,38296,66719,5317,17340,409981,181977,351507,1712386,22272,2382930,4262424
IMP-003136,AST-03136,BU-0035,79041,153177,38231,11412,691245,531800,2161634,5538414,44718,7642286,12637572
IMP-003137,AST-03137,BU-0062,6125,11394,1249,12959,499749,305253,70212,1187841,4394,16229196,2337760
IMP-003138,AST-03138,BU-0095,1051247,1592799,821401,23893,345934,218760,20363179,69272634,504977,92382252,129249084
IMP-003139,AST-03139,BU-0009,260,450,55,11178,368770,266533,8936,382536,113,1468328,1037630
IMP-003140,AST-03140,BU-0150,2417,3512,452,3793,22455,17098,30377,367177,1732,185074,521847
IMP-003141,AST-03141,BU-0001,762210,1090958,22944,17373,4895047,3176083,16355700,30894103,399885,41893359,81526869
IMP-003142,AST-03142,BU-0035,74694,134031,38954,9506,2612267,1761270,2650852,10217872,47040,13596903,20497959
IMP-003143,AST-03143,BU-0139,4777,7700,758,17211,10694354,4090722,75034,4625362,1953,25864657,19671030
IMP-003144,AST-03144,BU-0004,544060,761322,209325,3670,1924419,800734,11975492,17248142,176511,76349572,50429840
IMP-003145,AST-03145,BU-0079,2263881,3725120,317447,12455,12926151,8388134,58562654,121921289,1515473,79071749,291518555
IMP-003146,AST-03146,BU-0058,1752,2650,269,22918,1441033,588686,37788,412496,882,12855439,2543872
IMP-003147,AST-03147,BU-0083,34748,46261,14676,5085,18015356,11026606,641344,4557841,25916,166688476,35366087
IMP-003148,AST-03148,BU-0034,55724,104058,7260,17033,1376394,648419,701452,8338308,32959,5070072,13569225
IMP-003149,AST-03149,BU-0042,389253,714626,112332,24498,8908707,5981988,7776407,30545498,151681,100521951,70475956
IMP-003150,AST-03150,BU-0104,736950,1110431,670019,23214,13058644,5909627,10362362,180070221,365730,186051073,236721217
IMP-003151,AST-03151,BU-0039,1417017,1874193,138112,23803,9843602,4889622,34323277,100041737,816536,66084164,194216982
IMP-003152,AST-03152,BU-0038,717045,1400682,186939,14096,1067969,367244,24499369,55863238,436408,79545250,115601127
IMP-003153,AST-03153,BU-0057,91304,174024,12057,17265,684623,527521,2784148,3473018,28393,6845638,11657943
IMP-003154,AST-03154,BU-0029,149126,248297,9468,12507,1031124,472851,2249170,6217879,87087,7799146,15939620
IMP-003155,AST-03155,BU-0096,805034,993867,192931,19659,7805578,5991545,10723005,19020356,516289,91655484,67586223
IMP-003156,AST-03156,BU-0075,112355,156107,37821,3745,212009,67802,1361188,7793962,38869,9784235,13219350
IMP-003157,AST-03157,BU-0136,422003,594154,96672,12983,9762061,5189426,3617745,21913882,232470,60896073,54839482
IMP-003158,AST-03158,BU-0095,29878,50382,3167,4336,4422392,2526594,885741,3364334,15566,50219095,12411396
IMP-003159,AST-03159,BU-0138,445890,818736,83102,3090,1558074,974192,4161698,28873791,204028,37525454,55300521
IMP-003160,AST-03160,BU-0093,506258,761702,214243,21773,1090677,678010,10027025,69739554,400441,109592020,100030357
IMP-003161,AST-03161,BU-0007,18653,23086,25146,7687,223970,83766,335018,2443390,14896,1109094,3665354
IMP-003162,AST-03162,BU-0085,4694,8593,518,5683,95835,30439,67799,99383,2772,744554,500206
IMP-003163,AST-03163,BU-0100,178,349,5,19473,5189,1660,5128,26612,55,247564,46970
IMP-003164,AST-03164,BU-0081,1516274,2549721,191932,17739,3047699,2005881,23914631,39194659,1048028,213040897,129548106
