risk_id,organization_id,business_unit_id,asset_id,vulnerability_id,threat_id,likelihood_score,impact_score,inherent_risk,control_effectiveness,residual_risk,incident_probability,single_loss_expectancy,annual_rate_of_occurrence,expected_annual_loss,value_at_risk,financial_exposure,risk_reduction_potential,current_security_spend,recommended_security_spend,risk_score
RISK-007551,ORG-024,BU-0141,AST-05970,VULN-018866,THREAT-02963,2.4,10,2.4,0.51,1.18,0.16,43972493,0.23,10113673,35266722,20693690,0.43,1252659,1306523,1.07
RISK-007552,ORG-007,BU-0042,AST-05553,VULN-012403,THREAT-03852,4.2,8.7,3.65,0.51,1.79,0.28,11054226,0.701,7749012,20202033,13809622,0.61,512532,543796,1.62
RISK-007553,ORG-023,BU-0139,AST-01926,VULN-025774,THREAT-00284,5.1,6.2,3.16,0.59,1.3,0.34,9150076,0.281,2571171,3979813,3765115,0.49,1149990,1206340,1.4
RISK-007554,ORG-022,BU-0134,AST-08096,VULN-012469,THREAT-02901,4.0,9.2,3.68,0.4,2.21,0.2667,7629015,0.626,4775763,13591507,8853215,0.61,1087186,1153504,2.09
RISK-007555,ORG-022,BU-0133,AST-07878,VULN-016863,THREAT-03885,3.4,5.1,1.73,0.35,1.12,0.2267,2782492,0.567,1577673,3676278,2680556,0.3,1253493,1291098,1.02
RISK-007556,ORG-002,BU-0009,AST-06861,VULN-021734,THREAT-02749,4.3,10,4.3,0.36,2.75,0.2867,472736,0.242,114402,311768,207932,0.42,425916,443804,2.54
RISK-007557,ORG-019,BU-0119,AST-06142,VULN-027112,THREAT-02975,5.2,5.3,2.76,0.57,1.19,0.3467,3299025,0.655,2160861,5789581,3897735,0.53,745017,784503,1.13
RISK-007558,ORG-025,BU-0148,AST-06966,VULN-001976,THREAT-00572,4.7,8.6,4.04,0.29,2.87,0.3133,56738,0.451,25589,72180,47243,0.41,103643,107892,2.72
RISK-007559,ORG-015,BU-0090,AST-08445,VULN-025487,THREAT-00555,4.5,3.4,1.53,0.51,0.75,0.3,700706,0.767,537442,1101806,867984,0.22,1323921,1353047,0.75
RISK-007560,ORG-020,BU-0122,AST-07967,VULN-007060,THREAT-02886,1.4,2.1,0.29,0.37,0.18,0.0933,31712,0.227,7199,12992,11097,0.03,141258,141682,0.17
RISK-007561,ORG-004,BU-0025,AST-06249,VULN-020035,THREAT-02017,2.4,4.7,1.13,0.79,0.24,0.16,450633,0.105,47316,144756,90743,0.11,428436,433149,0.23
RISK-007562,ORG-019,BU-0120,AST-05574,VULN-003995,THREAT-03421,6.8,9.7,6.6,0.55,2.97,0.4533,11838360,1.078,12761752,43438379,25793266,1.16,1295677,1445976,2.9
RISK-007563,ORG-016,BU-0099,AST-01888,VULN-028854,THREAT-00765,2.6,2.7,0.7,0.63,0.26,0.1733,810,0.328,266,713,480,0.05,130192,130843,0.24
RISK-007564,ORG-020,BU-0123,AST-09212,VULN-010591,THREAT-02264,4.0,10,4.0,0.58,1.68,0.2667,623081,0.596,371356,959993,659354,0.61,141445,150073,1.75
RISK-007565,ORG-024,BU-0142,AST-01625,VULN-011838,THREAT-03488,3.5,9.0,3.15,0.2,2.52,0.2333,19702758,0.375,7388534,14131067,11627854,0.17,586247,596213,2.49
RISK-007566,ORG-010,BU-0058,AST-01183,VULN-017957,THREAT-00485,6.4,8.9,5.7,0.57,2.45,0.4267,2490074,0.302,752002,1465235,1191572,0.63,263788,280407,2.45
RISK-007567,ORG-018,BU-0115,AST-03724,VULN-008840,THREAT-01762,3.1,8.8,2.73,0.33,1.83,0.2067,2876602,0.243,699014,1337422,1100241,0.3,679689,700080,1.95
RISK-007568,ORG-018,BU-0112,AST-05115,VULN-020787,THREAT-04442,2.4,8.0,1.92,0.5,0.96,0.16,2998514,0.401,1202404,3988678,2399007,0.14,1155724,1171904,1.05
RISK-007569,ORG-004,BU-0025,AST-07137,VULN-013209,THREAT-04895,3.1,8.8,2.73,0.78,0.6,0.2067,1028990,0.203,208885,716034,423695,0.34,348564,360415,0.6
RISK-007570,ORG-001,BU-0003,AST-05780,VULN-007616,THREAT-01403,7.1,3.1,2.2,0.67,0.73,0.4733,363301,0.425,154403,269297,235192,0.29,234028,240815,0.77
RISK-007571,ORG-003,BU-0017,AST-07420,VULN-022519,THREAT-01491,1.2,7.4,0.89,0.4,0.53,0.08,894383,0.125,111798,318449,207333,0.07,364748,367301,0.54
RISK-007572,ORG-008,BU-0044,AST-07150,VULN-017765,THREAT-00111,1.3,9.4,1.22,0.4,0.73,0.0867,226810,0.049,11114,16818,16159,0.2,137585,140337,0.74
RISK-007573,ORG-014,BU-0085,AST-07156,VULN-000916,THREAT-03188,2.9,3.5,1.02,0.62,0.39,0.1933,18548,0.361,6696,19481,12540,0.18,103088,104944,0.4
RISK-007574,ORG-019,BU-0119,AST-08120,VULN-001895,THREAT-01917,3.8,7.7,2.93,0.55,1.32,0.2533,5915696,0.627,3709141,9164260,6458419,0.44,578013,603446,1.2
RISK-007575,ORG-021,BU-0125,AST-01172,VULN-006692,THREAT-03449,2.5,5.3,1.32,0.74,0.34,0.1667,457131,0.428,195652,549372,360464,0.15,255623,259457,0.37
RISK-007576,ORG-002,BU-0006,AST-09337,VULN-024025,THREAT-01603,0.8,10,0.8,0.32,0.54,0.0533,1112788,0.13,144662,350013,249666,0.07,459014,462227,0.52
RISK-007577,ORG-005,BU-0029,AST-09549,VULN-024084,THREAT-02118,0.3,2.3,0.07,0.49,0.04,0.02,147709,0.014,2068,3118,3003,0.01,102923,103026,0.04
RISK-007578,ORG-023,BU-0136,AST-04932,VULN-024961,THREAT-00820,3.5,10,3.5,0.76,0.84,0.2333,17943623,0.31,5562523,16009774,10365455,0.22,396497,405220,0.76
RISK-007579,ORG-013,BU-0082,AST-04627,VULN-025177,THREAT-03992,3.4,10,3.4,0.81,0.65,0.2267,12979568,0.207,2686771,9246255,5460648,0.21,281284,287191,0.61
RISK-007580,ORG-025,BU-0150,AST-08122,VULN-016890,THREAT-01276,2.8,10,2.8,0.47,1.48,0.1867,21056,0.37,7791,16044,12604,0.54,42619,44920,1.62
RISK-007581,ORG-014,BU-0084,AST-05810,VULN-023783,THREAT-01959,1.0,4.3,0.43,0.28,0.31,0.0667,5658,0.038,215,389,332,0.03,72895,73114,0.33
RISK-007582,ORG-021,BU-0125,AST-08024,VULN-014076,THREAT-01893,2.4,8.9,2.14,0.57,0.92,0.16,1101691,0.263,289745,811501,533195,0.23,333580,341252,0.93
RISK-007583,ORG-017,BU-0104,AST-09058,VULN-007294,THREAT-03354,4.4,10,4.4,0.7,1.32,0.2933,22717554,0.825,18741982,64297286,38031168,0.31,762561,786200,1.39
RISK-007584,ORG-016,BU-0098,AST-04139,VULN-007477,THREAT-03733,4.1,5.2,2.13,0.57,0.92,0.2733,16727,0.432,7226,20628,13414,0.22,30952,31633,0.91
RISK-007585,ORG-023,BU-0137,AST-01778,VULN-006957,THREAT-00714,2.9,9.1,2.64,0.61,1.03,0.1933,25221635,0.541,13644905,46672398,27646624,0.49,1063343,1115447,1.09
RISK-007586,ORG-020,BU-0124,AST-06233,VULN-004196,THREAT-00274,3.2,4.7,1.5,0.63,0.55,0.2133,49176,0.441,21687,58366,39197,0.13,93958,95179,0.52
RISK-007587,ORG-005,BU-0029,AST-01220,VULN-026059,THREAT-02583,1.8,10,1.8,0.76,0.43,0.12,3704998,0.145,537225,1053731,853344,0.11,80460,81345,0.42
RISK-007588,ORG-024,BU-0143,AST-07653,VULN-013077,THREAT-02126,2.7,8.7,2.35,0.73,0.63,0.18,6144370,0.182,1118275,3283121,2103211,0.24,757069,775239,0.59
RISK-007589,ORG-008,BU-0047,AST-09578,VULN-002001,THREAT-03827,4.0,2.6,1.04,0.36,0.67,0.2667,50563,0.423,21388,39160,33136,0.1,89186,90078,0.63
RISK-007590,ORG-010,BU-0058,AST-00606,VULN-026812,THREAT-03729,7.0,5.7,3.99,0.72,1.12,0.4667,786889,0.483,380067,866922,640144,0.45,112040,117082,1.05
RISK-007591,ORG-012,BU-0074,AST-05401,VULN-011078,THREAT-02449,3.0,2.9,0.87,0.34,0.57,0.2,309474,0.501,155046,499799,304986,0.09,113790,114814,0.54
RISK-007592,ORG-004,BU-0023,AST-03892,VULN-020641,THREAT-00587,2.8,10,2.8,0.73,0.76,0.1867,1882506,0.349,656995,1326048,1054809,0.36,285314,295585,0.78
RISK-007593,ORG-019,BU-0120,AST-05351,VULN-001081,THREAT-02353,5.6,4.6,2.58,0.65,0.9,0.3733,1239503,0.22,272691,836337,523592,0.4,793046,824768,0.9
RISK-007594,ORG-019,BU-0119,AST-04836,VULN-024329,THREAT-01147,4.4,9.0,3.96,0.4,2.38,0.2933,17499144,0.866,15154259,50189791,30211196,0.32,1133468,1169739,2.47
RISK-007595,ORG-002,BU-0009,AST-06915,VULN-021409,THREAT-03586,1.8,10,1.8,0.6,0.72,0.12,742742,0.246,182715,320449,278850,0.15,96258,97702,0.78
RISK-007596,ORG-024,BU-0141,AST-00332,VULN-012889,THREAT-00747,1.9,5.5,1.04,0.67,0.34,0.1267,1578390,0.27,426165,1267154,806311,0.08,886281,893371,0.37
RISK-007597,ORG-010,BU-0057,AST-09327,VULN-007741,THREAT-02716,6.7,5.0,3.35,0.47,1.78,0.4467,690879,0.614,424200,1326966,822290,0.26,134766,138270,1.93
RISK-007598,ORG-002,BU-0007,AST-03475,VULN-010752,THREAT-03408,1.2,10,1.2,0.65,0.42,0.08,955465,0.141,134721,267832,215071,0.09,346902,350024,0.46
RISK-007599,ORG-019,BU-0116,AST-03038,VULN-003831,THREAT-01772,0.7,9.0,0.63,0.68,0.2,0.0467,11916030,0.086,1024779,1940406,1606901,0.11,621563,628400,0.18
RISK-007600,ORG-001,BU-0005,AST-05416,VULN-005633,THREAT-02800,4.6,8.2,3.77,0.24,2.87,0.3067,8569455,0.612,5244506,11236328,8615404,0.41,855112,890172,2.7
RISK-007601,ORG-007,BU-0041,AST-06928,VULN-014050,THREAT-04121,1.0,6.1,0.61,0.72,0.17,0.0667,6998109,0.117,818779,1704128,1330017,0.09,716978,723431,0.16
RISK-007602,ORG-017,BU-0107,AST-05382,VULN-029663,THREAT-00685,5.7,5.8,3.31,0.68,1.06,0.38,303919,0.44,133724,297220,222890,0.26,1041682,1068766,1.03
RISK-007603,ORG-005,BU-0031,AST-00264,VULN-010767,THREAT-04485,1.4,9.6,1.34,0.84,0.21,0.0933,2579730,0.257,662991,1318205,1058452,0.1,228542,230827,0.22
RISK-007604,ORG-001,BU-0002,AST-04364,VULN-005587,THREAT-04378,4.4,2.7,1.19,0.31,0.82,0.2933,1120636,0.518,580489,1313155,974436,0.13,983342,996125,0.82
RISK-007605,ORG-018,BU-0113,AST-06224,VULN-016395,THREAT-04729,5.6,9.1,5.1,0.67,1.68,0.3733,12674055,1.119,14182268,44964381,27671582,0.36,1050988,1088824,1.57
RISK-007606,ORG-014,BU-0085,AST-03298,VULN-028111,THREAT-02142,3.9,9.5,3.7,0.83,0.63,0.26,281885,0.305,85975,143199,128935,0.17,93878,95474,0.68
RISK-007607,ORG-022,BU-0130,AST-08708,VULN-014826,THREAT-03424,6.4,9.4,6.02,0.27,4.39,0.4267,15793033,0.44,6948935,18526968,12507025,0.65,543550,578881,4.2
RISK-007608,ORG-008,BU-0043,AST-08087,VULN-020263,THREAT-03925,4.2,5.9,2.48,0.59,1.02,0.28,119796,0.203,24319,72677,46122,0.36,42736,44274,1.04
RISK-007609,ORG-001,BU-0002,AST-08882,VULN-018738,THREAT-04960,1.3,10,1.3,0.52,0.62,0.0867,18217685,0.109,1985728,6042738,3798549,0.16,425440,432247,0.66
RISK-007610,ORG-017,BU-0110,AST-09460,VULN-025858,THREAT-02174,0.1,9.7,0.1,0.31,0.07,0.0067,14288272,0.017,242901,729557,461768,0.01,1042455,1043497,0.07
RISK-007611,ORG-025,BU-0149,AST-03055,VULN-025051,THREAT-02375,1.5,10,1.5,0.53,0.7,0.1,74195,0.168,12465,18903,18136,0.28,134757,138530,0.69
RISK-007612,ORG-005,BU-0029,AST-04661,VULN-013890,THREAT-01920,0.6,8.8,0.53,0.46,0.29,0.04,1865212,0.105,195847,454005,332048,0.1,386744,390611,0.31
RISK-007613,ORG-015,BU-0093,AST-01397,VULN-018219,THREAT-01246,3.6,10,3.6,0.81,0.68,0.24,29668486,0.301,8930214,23833891,16080381,0.22,243930,249296,0.66
RISK-007614,ORG-024,BU-0146,AST-04669,VULN-009055,THREAT-02827,2.3,10,2.3,0.25,1.72,0.1533,50370302,0.193,9721468,27774741,18053890,0.19,661837,674412,1.75
RISK-007615,ORG-010,BU-0061,AST-03257,VULN-017092,THREAT-00296,3.2,2.4,0.77,0.32,0.52,0.2133,325489,0.62,201803,461393,340221,0.08,208983,210655,0.48
RISK-007616,ORG-007,BU-0038,AST-04891,VULN-025188,THREAT-03490,2.5,3.6,0.9,0.63,0.33,0.1667,867029,0.17,147395,365369,257006,0.16,1213098,1232508,0.34
RISK-007617,ORG-008,BU-0048,AST-06010,VULN-004322,THREAT-00829,3.0,9.7,2.91,0.67,0.96,0.2,627999,0.274,172072,424001,299272,0.36,123516,127963,0.87
RISK-007618,ORG-015,BU-0091,AST-07035,VULN-023977,THREAT-00675,3.2,5.5,1.76,0.46,0.95,0.2133,8539442,0.146,1246759,3667336,2346960,0.24,1435726,1470183,1.04
RISK-007619,ORG-008,BU-0043,AST-02901,VULN-015011,THREAT-03732,3.6,5.3,1.91,0.42,1.11,0.24,56004,0.658,36851,121022,73158,0.14,133999,135875,1.12
RISK-007620,ORG-004,BU-0022,AST-07851,VULN-013297,THREAT-01518,3.9,10,3.9,0.61,1.52,0.26,4133045,0.489,2021059,5999817,3821004,0.43,285626,297908,1.59
RISK-007621,ORG-010,BU-0059,AST-07885,VULN-017728,THREAT-04554,4.6,9.8,4.51,0.72,1.26,0.3067,2191535,0.35,767037,2448153,1501483,0.32,397189,409899,1.37
RISK-007622,ORG-021,BU-0126,AST-03987,VULN-023762,THREAT-03963,2.5,9.0,2.25,0.53,1.06,0.1667,2051542,0.206,422618,1345781,826352,0.17,361443,367588,1.16
RISK-007623,ORG-001,BU-0003,AST-02743,VULN-017896,THREAT-02523,6.5,5.5,3.58,0.64,1.29,0.4333,6080953,0.577,3508710,10421974,6635302,0.47,1490453,1560504,1.26
RISK-007624,ORG-020,BU-0121,AST-07203,VULN-024429,THREAT-03834,4.4,10,4.4,0.71,1.28,0.2933,385347,0.729,280918,849882,535883,0.43,49845,51988,1.16
RISK-007625,ORG-009,BU-0051,AST-01347,VULN-010946,THREAT-01119,3.1,10,3.1,0.7,0.93,0.2067,979054,0.212,207559,640433,399689,0.32,351704,362959,0.92
RISK-007626,ORG-010,BU-0060,AST-07056,VULN-026170,THREAT-04241,6.6,9.7,6.4,0.39,3.9,0.44,945084,1.261,1191751,2769524,2022608,0.92,418944,457487,3.95
RISK-007627,ORG-016,BU-0097,AST-09489,VULN-025448,THREAT-04473,3.3,10,3.3,0.35,2.15,0.22,42309,0.542,22931,48391,37448,0.3,103051,106143,2.3
RISK-007628,ORG-014,BU-0087,AST-08867,VULN-029176,THREAT-01425,1.8,4.8,0.86,0.42,0.5,0.12,37017,0.229,8477,24864,15936,0.07,121272,122121,0.5
RISK-007629,ORG-015,BU-0094,AST-02260,VULN-005019,THREAT-04143,0.6,10,0.6,0.49,0.31,0.04,34548300,0.026,898256,2119915,1534230,0.12,1277186,1292512,0.34
RISK-007630,ORG-011,BU-0066,AST-04778,VULN-010496,THREAT-01879,0.1,8.8,0.09,0.21,0.07,0.0067,1987478,0.006,11925,21356,18332,0.01,454596,455051,0.08
RISK-007631,ORG-019,BU-0119,AST-09304,VULN-002500,THREAT-04424,3.3,10,3.3,0.3,2.31,0.22,7404727,0.502,3717173,7064728,5836591,0.44,349498,364876,2.33
RISK-007632,ORG-020,BU-0124,AST-06233,VULN-026052,THREAT-01475,3.5,4.5,1.57,0.23,1.21,0.2333,26041,0.661,17213,42792,30051,0.18,39587,40300,1.25
RISK-007633,ORG-005,BU-0031,AST-08058,VULN-000892,THREAT-00513,2.3,5.7,1.31,0.83,0.22,0.1533,735163,0.272,199964,443328,332962,0.11,82380,83286,0.23
RISK-007634,ORG-016,BU-0099,AST-09659,VULN-007466,THREAT-01720,0.2,9.2,0.18,0.44,0.1,0.0133,85503,0.039,3335,6233,5205,0.02,120667,120908,0.11
RISK-007635,ORG-007,BU-0042,AST-09675,VULN-011459,THREAT-04804,1.5,7.9,1.19,0.28,0.86,0.1,8192611,0.186,1523826,2847221,2377992,0.11,1088815,1100792,0.79
RISK-007636,ORG-019,BU-0116,AST-02859,VULN-005679,THREAT-00738,4.1,3.4,1.39,0.24,1.06,0.2733,1209945,0.398,481558,797429,720787,0.1,342228,345650,1.07
RISK-007637,ORG-017,BU-0107,AST-04237,VULN-022198,THREAT-01148,3.8,8.6,3.27,0.78,0.72,0.2533,43112537,0.557,24013683,36612567,34997453,0.19,619223,630988,0.71
RISK-007638,ORG-024,BU-0140,AST-06367,VULN-011550,THREAT-04874,3.6,10,3.6,0.48,1.87,0.24,39900213,0.129,5147127,14277271,9430308,0.47,312812,327514,1.88
RISK-007639,ORG-013,BU-0081,AST-00082,VULN-014224,THREAT-02221,6.2,9.9,6.14,0.27,4.48,0.4133,29363318,0.443,13007950,29631765,21897480,0.75,1313887,1412429,4.13
RISK-007640,ORG-023,BU-0136,AST-06634,VULN-019605,THREAT-03231,0.2,8.0,0.16,0.75,0.04,0.0133,15010517,0.01,150105,423832,277255,0.01,1326257,1327583,0.04
RISK-007641,ORG-004,BU-0018,AST-05455,VULN-000053,THREAT-00694,0.5,4.6,0.23,0.42,0.13,0.0333,717609,0.098,70326,131804,109867,0.03,65731,65928,0.13
RISK-007642,ORG-016,BU-0101,AST-01243,VULN-009984,THREAT-03258,3.0,3.0,0.9,0.65,0.32,0.2,12966,0.344,4460,9874,7422,0.14,67610,68557,0.34
RISK-007643,ORG-003,BU-0014,AST-00796,VULN-024334,THREAT-02187,5.0,2.7,1.35,0.31,0.93,0.3333,67299,0.402,27054,42265,39734,0.21,131009,133760,0.86
RISK-007644,ORG-006,BU-0033,AST-00632,VULN-017152,THREAT-04503,3.7,10,3.7,0.39,2.26,0.2467,5304883,0.465,2466771,7407416,4688996,0.46,54525,57033,2.08
RISK-007645,ORG-014,BU-0086,AST-09429,VULN-019565,THREAT-03883,2.1,10,2.1,0.57,0.9,0.14,244896,0.346,84734,292241,172406,0.16,123364,125338,0.92
RISK-007646,ORG-020,BU-0122,AST-09637,VULN-006202,THREAT-02728,3.2,5.0,1.6,0.7,0.48,0.2133,138316,0.607,83958,145670,127659,0.12,24661,24957,0.49
RISK-007647,ORG-011,BU-0067,AST-08021,VULN-012721,THREAT-01458,4.1,5.2,2.13,0.34,1.41,0.2733,0,0.674,0,0,0,0.27,269423,276697,1.35
RISK-007648,ORG-018,BU-0115,AST-05554,VULN-026199,THREAT-00132,3.3,10,3.3,0.39,2.01,0.22,9304949,0.479,4457071,12772893,8288939,0.53,1174919,1237190,2.16
RISK-007649,ORG-005,BU-0030,AST-03958,VULN-012649,THREAT-02305,2.7,9.6,2.59,0.27,1.89,0.18,2104616,0.294,618757,1181456,973194,0.26,277471,284685,1.7
RISK-007650,ORG-016,BU-0101,AST-00970,VULN-023784,THREAT-02255,0.9,10,0.9,0.69,0.28,0.06,121974,0.155,18906,33921,29082,0.08,102004,102820,0.28
RISK-007651,ORG-005,BU-0026,AST-07996,VULN-001221,THREAT-02050,0.3,3.6,0.11,0.24,0.08,0.02,722485,0.011,7947,16924,13024,0.01,344403,344747,0.08
RISK-007652,ORG-011,BU-0064,AST-07033,VULN-017968,THREAT-01610,4.2,10,4.2,0.77,0.97,0.28,1478039,0.276,407939,1082985,732834,0.55,80189,84599,1.04
RISK-007653,ORG-002,BU-0009,AST-06865,VULN-017322,THREAT-03208,4.2,10,4.2,0.35,2.73,0.28,271703,0.591,160576,534715,320990,0.59,261185,276595,2.9
RISK-007654,ORG-016,BU-0101,AST-01875,VULN-020764,THREAT-03632,6.3,9.1,5.73,0.52,2.75,0.42,37155,0.859,31916,59196,49675,0.43,102771,107190,2.49
RISK-007655,ORG-011,BU-0067,AST-03037,VULN-009247,THREAT-03873,4.7,5.2,2.44,0.44,1.37,0.3133,418725,0.803,336236,694531,544595,0.46,373946,391148,1.49
RISK-007656,ORG-004,BU-0023,AST-01939,VULN-016686,THREAT-03686,2.7,9.8,2.65,0.25,1.99,0.18,912390,0.162,147807,309533,240667,0.37,466595,483859,1.94
RISK-007657,ORG-023,BU-0137,AST-03168,VULN-003897,THREAT-03269,1.4,10,1.4,0.73,0.38,0.0933,13586863,0.239,3247260,11242037,6619871,0.11,1034194,1045570,0.37
RISK-007658,ORG-005,BU-0031,AST-07479,VULN-017268,THREAT-04557,0.5,4.7,0.24,0.35,0.16,0.0333,314262,0.076,23884,71851,45439,0.02,394825,395615,0.15
RISK-007659,ORG-010,BU-0059,AST-02191,VULN-002125,THREAT-03291,1.0,2.8,0.28,0.59,0.11,0.0667,12036,0.152,1829,3600,2909,0.03,315247,316193,0.1
RISK-007660,ORG-010,BU-0060,AST-09340,VULN-018332,THREAT-04892,3.4,10,3.4,0.25,2.55,0.2267,2651613,0.654,1734155,4731615,3153640,0.23,445648,455898,2.66
RISK-007661,ORG-014,BU-0086,AST-01587,VULN-008342,THREAT-00514,2.9,5.5,1.59,0.22,1.24,0.1933,1166,0.192,224,649,419,0.16,92753,94237,1.24
RISK-007662,ORG-022,BU-0132,AST-09311,VULN-026789,THREAT-03650,3.9,10,3.9,0.45,2.15,0.26,5843221,0.374,2185365,7146937,4329446,0.53,839310,883793,2.26
RISK-007663,ORG-014,BU-0088,AST-03564,VULN-023334,THREAT-00053,4.3,4.9,2.11,0.63,0.78,0.2867,41213,0.496,20442,47639,34734,0.18,110999,112997,0.85
RISK-007664,ORG-005,BU-0027,AST-01979,VULN-022704,THREAT-04577,3.7,9.3,3.44,0.4,2.06,0.2467,2191772,0.167,366026,923357,643033,0.38,210078,218061,2.21
RISK-007665,ORG-024,BU-0143,AST-07298,VULN-002591,THREAT-04578,0.9,10,0.9,0.52,0.43,0.06,35633355,0.048,1710401,2576047,2483215,0.14,540362,547927,0.4
RISK-007666,ORG-020,BU-0122,AST-02315,VULN-027866,THREAT-02845,5.2,10,5.2,0.81,0.99,0.3467,635906,0.338,214936,671796,416475,0.44,50005,52205,1.02
RISK-007667,ORG-019,BU-0117,AST-02273,VULN-022862,THREAT-02990,0.4,4.8,0.19,0.78,0.04,0.0267,4920918,0.044,216520,743164,439469,0.02,1033917,1035985,0.04
RISK-007668,ORG-023,BU-0139,AST-00177,VULN-023039,THREAT-03005,1.4,1.8,0.25,0.82,0.05,0.0933,634566,0.23,145950,255314,222544,0.02,236476,236949,0.05
RISK-007669,ORG-021,BU-0125,AST-04906,VULN-026798,THREAT-01280,3.7,4.4,1.63,0.26,1.21,0.2467,61142,0.228,13940,33445,23974,0.18,359306,365774,1.11
RISK-007670,ORG-017,BU-0108,AST-00474,VULN-009947,THREAT-03200,7.1,5.9,4.19,0.47,2.22,0.4733,17182282,0.697,11976051,20892686,18243857,0.45,781077,816225,2.18
RISK-007671,ORG-023,BU-0138,AST-04977,VULN-023591,THREAT-01484,3.9,2.5,0.97,0.56,0.43,0.26,1426524,0.604,861620,2467151,1601765,0.12,1125874,1139384,0.47
RISK-007672,ORG-006,BU-0036,AST-04986,VULN-028635,THREAT-02312,4.2,3.5,1.47,0.7,0.44,0.28,909533,0.574,522072,837061,773190,0.18,466965,475370,0.47
RISK-007673,ORG-014,BU-0087,AST-03525,VULN-028375,THREAT-00028,0.6,7.7,0.46,0.71,0.13,0.04,47451,0.068,3227,8236,5698,0.05,136771,137455,0.12
RISK-007674,ORG-022,BU-0133,AST-04190,VULN-028294,THREAT-01365,5.9,10,5.9,0.77,1.36,0.3933,14222052,0.951,13525171,24045928,20738949,0.62,761797,809028,1.38
RISK-007675,ORG-006,BU-0033,AST-02720,VULN-016740,THREAT-00465,2.0,10,2.0,0.65,0.7,0.1333,2404863,0.202,485782,1634898,976251,0.34,391104,404402,0.77
RISK-007676,ORG-003,BU-0016,AST-06457,VULN-023735,THREAT-00524,3.0,10,3.0,0.61,1.17,0.2,1947422,0.463,901656,1363539,1310718,0.48,247676,259564,1.11
RISK-007677,ORG-017,BU-0106,AST-05087,VULN-024100,THREAT-01989,5.8,10,5.8,0.66,1.97,0.3867,62566710,0.316,19771080,42597574,32550352,0.75,1107121,1190155,1.95
RISK-007678,ORG-013,BU-0079,AST-03438,VULN-022979,THREAT-02606,4.2,10,4.2,0.81,0.8,0.28,17579112,0.164,2882974,6310982,4776269,0.32,367461,379220,0.83
RISK-007679,ORG-010,BU-0059,AST-03234,VULN-015890,THREAT-00564,4.3,8.1,3.48,0.7,1.04,0.2867,1521526,0.5,760763,2607481,1543007,0.53,332533,350157,1.02
RISK-007680,ORG-024,BU-0141,AST-03924,VULN-022517,THREAT-00667,5.4,10,5.4,0.74,1.4,0.36,27563932,0.929,25606893,63986321,44802789,0.38,472731,490695,1.47
RISK-007681,ORG-011,BU-0063,AST-03636,VULN-000552,THREAT-02721,0.2,4.4,0.09,0.58,0.04,0.0133,30189,0.015,453,1186,809,0.02,341104,341786,0.04
RISK-007682,ORG-021,BU-0128,AST-06005,VULN-008187,THREAT-04465,4.4,10,4.4,0.28,3.17,0.2933,1289920,0.441,568855,1523979,1026049,0.65,470698,501293,2.94
RISK-007683,ORG-002,BU-0006,AST-01227,VULN-006949,THREAT-03212,4.2,10,4.2,0.79,0.88,0.28,671076,0.522,350302,1087026,676410,0.5,247415,259786,0.96
RISK-007684,ORG-004,BU-0018,AST-08683,VULN-029871,THREAT-01937,2.6,9.1,2.37,0.46,1.28,0.1733,655268,0.099,64872,150989,110169,0.45,137970,144179,1.31
RISK-007685,ORG-008,BU-0043,AST-09718,VULN-019897,THREAT-01483,3.3,3.8,1.25,0.52,0.6,0.22,71424,0.405,28927,89093,55655,0.22,90292,92278,0.61
RISK-007686,ORG-002,BU-0008,AST-06443,VULN-027609,THREAT-01339,7.6,6.3,4.79,0.37,3.02,0.5067,167518,0.844,141385,419344,267188,0.51,407792,428589,3.01
RISK-007687,ORG-009,BU-0055,AST-07538,VULN-010930,THREAT-01496,1.3,3.0,0.39,0.27,0.28,0.0867,205337,0.153,31417,86810,57460,0.04,331490,332816,0.29
RISK-007688,ORG-021,BU-0125,AST-02923,VULN-011407,THREAT-04516,3.6,5.8,2.09,0.53,0.98,0.24,250427,0.21,52590,99376,82403,0.25,376404,385814,0.93
RISK-007689,ORG-007,BU-0041,AST-04788,VULN-020644,THREAT-02619,6.5,8.8,5.72,0.8,1.14,0.4333,10878697,0.723,7865298,23383722,14880415,0.47,571615,598481,1.07
RISK-007690,ORG-020,BU-0124,AST-00417,VULN-002650,THREAT-00126,3.6,8.5,3.06,0.81,0.58,0.24,372220,0.144,53600,175663,106299,0.22,49501,50590,0.53
RISK-007691,ORG-018,BU-0111,AST-07256,VULN-007648,THREAT-04353,2.4,10,2.4,0.3,1.68,0.16,8175536,0.38,3106704,6929894,5185672,0.18,401584,408813,1.57
RISK-007692,ORG-016,BU-0099,AST-05075,VULN-002081,THREAT-04980,4.0,8.4,3.36,0.63,1.24,0.2667,48881,0.734,35879,76330,58778,0.44,66311,69229,1.21
RISK-007693,ORG-007,BU-0041,AST-08826,VULN-003091,THREAT-03978,2.3,8.2,1.89,0.57,0.81,0.1533,27510185,0.313,8610688,24456050,15947503,0.31,1361519,1403726,0.77
RISK-007694,ORG-024,BU-0145,AST-01869,VULN-019716,THREAT-01291,4.7,4.7,2.21,0.25,1.66,0.3133,396669,0.826,327649,855800,584389,0.17,203387,206845,1.56
