asset_control_id,asset_id,control_id,enabled,coverage_percentage,effectiveness_score,last_verified,configuration_score,control_failure_count,residual_risk
AC-010983,AST-01978,CTRL-0014,True,73,0.71,2026-07-29,0.92,3,2.56
AC-010984,AST-01978,CTRL-0026,True,71,0.94,2026-08-19,0.53,2,2.06
AC-010985,AST-01978,CTRL-0016,True,99,0.35,2026-08-16,0.84,3,4.11
AC-010986,AST-01979,CTRL-0055,True,68,0.75,2026-06-25,0.94,3,3.61
AC-010987,AST-01979,CTRL-0056,True,77,0.58,2026-08-19,0.91,2,5.16
AC-010988,AST-01979,CTRL-0060,False,0,0.0,2026-07-27,0.09,4,8.09
AC-010989,AST-01979,CTRL-0058,True,94,0.61,2026-08-01,0.7,2,3.99
AC-010990,AST-01979,CTRL-0061,False,0,0.0,2026-06-16,0.22,2,8.03
AC-010991,AST-01979,CTRL-0063,True,87,0.91,2026-08-02,0.87,3,1.87
AC-010992,AST-01979,CTRL-0052,False,0,0.0,2026-07-07,0.21,1,9.08
AC-010993,AST-01980,CTRL-0367,True,69,0.37,2026-09-03,0.82,3,2.29
AC-010994,AST-01980,CTRL-0354,False,0,0.0,2026-07-13,0.22,1,3.02
AC-010995,AST-01980,CTRL-0365,True,92,0.91,2026-07-22,0.69,3,0.46
AC-010996,AST-01980,CTRL-0371,True,100,0.87,2026-07-19,0.76,2,0.25
AC-010997,AST-01980,CTRL-0361,True,88,0.72,2026-07-20,0.99,0,0.92
AC-010998,AST-01980,CTRL-0362,True,78,0.62,2026-07-19,0.63,2,1.57
AC-010999,AST-01981,CTRL-0124,False,0,0.0,2026-06-14,0.15,0,3.42
AC-011000,AST-01981,CTRL-0121,True,73,0.84,2026-08-26,0.67,3,1.47
AC-011001,AST-01981,CTRL-0123,False,0,0.0,2026-08-20,0.06,4,3.48
AC-011002,AST-01981,CTRL-0122,False,0,0.0,2026-08-24,0.27,3,4.08
AC-011003,AST-01981,CTRL-0127,True,82,0.65,2026-08-26,0.92,0,1.98
AC-011004,AST-01982,CTRL-0038,True,77,0.37,2026-08-22,0.87,3,1.81
AC-011005,AST-01982,CTRL-0030,True,62,0.43,2026-08-25,0.68,2,1.89
AC-011006,AST-01982,CTRL-0036,False,0,0.0,2026-08-04,0.18,0,2.59
AC-011007,AST-01983,CTRL-0267,True,92,0.36,2026-07-27,0.81,3,5.77
AC-011008,AST-01983,CTRL-0271,True,96,0.61,2026-07-30,0.79,3,3.71
AC-011009,AST-01983,CTRL-0269,False,0,0.0,2026-07-07,0.17,3,9.42
AC-011010,AST-01983,CTRL-0268,True,67,0.71,2026-07-25,0.82,0,3.75
AC-011011,AST-01983,CTRL-0266,True,87,0.62,2026-08-20,0.77,2,3.77
AC-011012,AST-01983,CTRL-0264,False,0,0.0,2026-07-06,0.08,9,8.06
AC-011013,AST-01983,CTRL-0263,False,0,0.0,2026-06-26,0.15,5,10.86
AC-011014,AST-01984,CTRL-0003,False,0,0.0,2026-07-25,0.2,4,9.8
AC-011015,AST-01984,CTRL-0006,False,0,0.0,2026-07-20,0.2,3,8.77
AC-011016,AST-01984,CTRL-0001,True,69,0.36,2026-06-14,0.53,3,7.79
AC-011017,AST-01985,CTRL-0268,True,68,0.77,2026-08-18,0.96,1,2.52
AC-011018,AST-01985,CTRL-0264,False,0,0.0,2026-08-11,0.16,5,5.46
AC-011019,AST-01985,CTRL-0263,False,0,0.0,2026-06-16,0.09,4,5.67
AC-011020,AST-01985,CTRL-0270,True,74,1.02,2026-07-21,0.54,0,1.84
AC-011021,AST-01985,CTRL-0269,False,0,0.0,2026-08-20,0.05,7,5.7
AC-011022,AST-01985,CTRL-0265,True,68,0.88,2026-08-13,0.52,1,2.17
AC-011023,AST-01985,CTRL-0271,True,83,0.63,2026-07-10,0.94,0,2.75
AC-011024,AST-01986,CTRL-0233,True,84,0.46,2026-06-12,0.9,3,5.39
AC-011025,AST-01986,CTRL-0225,True,66,0.57,2026-06-08,0.91,0,5.45
AC-011026,AST-01986,CTRL-0231,False,0,0.0,2026-06-15,0.17,5,8.26
AC-011027,AST-01986,CTRL-0224,False,0,0.0,2026-08-16,0.07,6,7.07
AC-011028,AST-01986,CTRL-0227,True,78,0.94,2026-06-30,0.82,2,2.53
AC-011029,AST-01986,CTRL-0237,False,0,0.0,2026-08-31,0.01,9,8.36
AC-011030,AST-01987,CTRL-0002,False,0,0.0,2026-06-13,0.21,7,1.3
AC-011031,AST-01987,CTRL-0003,False,0,0.0,2026-07-03,0.08,8,1.13
AC-011032,AST-01987,CTRL-0001,True,61,0.38,2026-07-14,0.58,0,1.01
AC-011033,AST-01987,CTRL-0005,True,99,0.31,2026-08-03,0.76,1,0.79
AC-011034,AST-01987,CTRL-0008,True,77,0.79,2026-07-18,0.88,2,0.45
AC-011035,AST-01987,CTRL-0006,False,0,0.0,2026-08-25,0.12,5,0.98
AC-011036,AST-01988,CTRL-0388,True,75,0.83,2026-07-02,0.87,2,1.49
AC-011037,AST-01988,CTRL-0385,True,80,0.93,2026-08-10,0.96,0,1.32
AC-011038,AST-01988,CTRL-0392,True,95,0.27,2026-07-24,0.63,1,3.28
AC-011039,AST-01988,CTRL-0389,True,90,0.57,2026-08-08,1.0,1,1.96
AC-011040,AST-01989,CTRL-0089,False,0,0.0,2026-08-07,0.09,1,3.8
AC-011041,AST-01989,CTRL-0094,True,80,0.41,2026-07-29,0.87,0,3.3
AC-011042,AST-01989,CTRL-0092,True,67,0.37,2026-08-31,0.54,2,3.52
AC-011043,AST-01989,CTRL-0093,True,75,0.9,2026-07-09,0.85,3,1.38
AC-011044,AST-01989,CTRL-0088,False,0,0.0,2026-06-30,0.17,2,4.47
AC-011045,AST-01989,CTRL-0083,False,0,0.0,2026-07-31,0.04,8,4.78
AC-011046,AST-01989,CTRL-0090,True,97,0.61,2026-08-14,0.93,3,1.42
AC-011047,AST-01990,CTRL-0171,False,0,0.0,2026-08-29,0.04,0,9.2
AC-011048,AST-01990,CTRL-0166,True,85,0.86,2026-06-08,0.79,3,2.59
AC-011049,AST-01990,CTRL-0178,False,0,0.0,2026-06-25,0.09,1,8.77
AC-011050,AST-01991,CTRL-0379,True,100,0.93,2026-07-16,0.7,0,0.43
AC-011051,AST-01991,CTRL-0391,True,100,0.88,2026-08-20,0.88,2,0.69
AC-011052,AST-01991,CTRL-0377,True,63,0.6,2026-07-30,0.98,3,3.81
AC-011053,AST-01991,CTRL-0385,True,92,0.85,2026-08-30,0.75,1,0.76
AC-011054,AST-01991,CTRL-0382,True,81,0.42,2026-06-24,0.51,3,3.94
AC-011055,AST-01991,CTRL-0390,False,0,0.0,2026-08-23,0.16,4,5.37
AC-011056,AST-01991,CTRL-0380,False,0,0.0,2026-06-07,0.12,7,5.89
AC-011057,AST-01991,CTRL-0388,True,87,0.71,2026-07-13,0.9,2,1.36
AC-011058,AST-01992,CTRL-0163,True,78,0.61,2026-08-23,0.59,1,3.42
AC-011059,AST-01992,CTRL-0168,False,0,0.0,2026-08-14,0.22,10,6.34
AC-011060,AST-01992,CTRL-0169,True,90,0.68,2026-08-28,0.69,2,3.25
AC-011061,AST-01992,CTRL-0165,True,74,0.4,2026-06-14,0.56,0,5.6
AC-011062,AST-01992,CTRL-0174,True,80,0.81,2026-08-31,0.74,2,2.84
AC-011063,AST-01992,CTRL-0170,False,0,0.0,2026-08-13,0.24,6,6.83
AC-011064,AST-01992,CTRL-0166,True,63,0.77,2026-06-23,0.74,0,3.36
AC-011065,AST-01992,CTRL-0177,True,85,0.81,2026-08-06,0.85,3,2.45
AC-011066,AST-01993,CTRL-0314,True,98,0.52,2026-06-06,0.8,3,3.62
AC-011067,AST-01993,CTRL-0313,True,72,0.36,2026-07-09,0.79,3,4.64
AC-011068,AST-01993,CTRL-0306,False,0,0.0,2026-08-13,0.1,9,7.83
AC-011069,AST-01993,CTRL-0319,True,76,0.61,2026-06-23,0.77,1,4.11
AC-011070,AST-01993,CTRL-0312,False,0,0.0,2026-08-11,0.15,9,7.17
AC-011071,AST-01993,CTRL-0316,True,96,0.69,2026-08-18,0.94,0,3.17
AC-011072,AST-01994,CTRL-0004,True,68,0.67,2026-06-13,0.61,0,3.86
AC-011073,AST-01994,CTRL-0002,False,0,0.0,2026-07-20,0.13,9,6.7
AC-011074,AST-01994,CTRL-0010,False,0,0.0,2026-06-29,0.02,9,5.94
AC-011075,AST-01994,CTRL-0011,False,0,0.0,2026-07-15,0.03,9,6.92
AC-011076,AST-01994,CTRL-0003,False,0,0.0,2026-08-27,0.1,1,6.05
AC-011077,AST-01995,CTRL-0099,True,68,0.46,2026-06-11,0.77,2,3.65
AC-011078,AST-01995,CTRL-0100,True,82,0.3,2026-08-19,0.72,2,3.25
AC-011079,AST-01995,CTRL-0101,False,0,0.0,2026-06-28,0.25,2,5.05
AC-011080,AST-01995,CTRL-0096,True,65,1.03,2026-07-02,0.66,1,2.12
AC-011081,AST-01996,CTRL-0388,True,70,0.75,2026-06-20,0.67,0,2.53
AC-011082,AST-01996,CTRL-0380,False,0,0.0,2026-06-14,0.13,8,5.76
AC-011083,AST-01996,CTRL-0379,True,86,0.9,2026-06-20,0.73,2,1.16
AC-011084,AST-01996,CTRL-0389,True,81,0.59,2026-08-17,0.88,1,2.5
AC-011085,AST-01996,CTRL-0392,True,76,0.31,2026-07-31,0.67,0,3.69
AC-011086,AST-01996,CTRL-0390,False,0,0.0,2026-07-24,0.01,2,4.75
AC-011087,AST-01997,CTRL-0339,False,0,0.0,2026-08-28,0.03,2,5.66
AC-011088,AST-01997,CTRL-0330,True,80,0.92,2026-07-22,0.84,2,1.35
AC-011089,AST-01997,CTRL-0340,True,86,0.46,2026-08-20,0.85,3,2.73
AC-011090,AST-01998,CTRL-0138,True,68,0.76,2026-06-15,0.64,2,1.27
AC-011091,AST-01998,CTRL-0136,True,93,0.45,2026-08-09,0.51,0,1.27
AC-011092,AST-01998,CTRL-0141,True,89,0.71,2026-06-27,0.61,0,0.66
AC-011093,AST-01998,CTRL-0131,True,66,0.34,2026-08-05,0.69,0,1.89
AC-011094,AST-01998,CTRL-0139,True,87,0.85,2026-06-11,0.95,1,0.76
AC-011095,AST-01998,CTRL-0132,False,0,0.0,2026-06-27,0.16,3,2.23
AC-011096,AST-01999,CTRL-0350,False,0,0.0,2026-07-09,0.06,6,8.31
AC-011097,AST-01999,CTRL-0349,True,70,0.93,2026-07-29,0.67,1,3.7
AC-011098,AST-01999,CTRL-0348,True,98,0.51,2026-08-25,0.9,0,4.82
AC-011099,AST-01999,CTRL-0344,True,84,0.54,2026-06-24,0.66,0,4.59
AC-011100,AST-02000,CTRL-0191,True,89,0.8,2026-07-21,0.57,1,0.48
AC-011101,AST-02000,CTRL-0187,False,0,0.0,2026-07-08,0.3,6,1.45
AC-011102,AST-02000,CTRL-0201,False,0,0.0,2026-07-21,0.2,8,1.37
AC-011103,AST-02000,CTRL-0203,True,79,0.66,2026-06-14,0.82,2,0.67
AC-011104,AST-02000,CTRL-0198,True,61,0.6,2026-06-17,0.83,0,1.19
AC-011105,AST-02000,CTRL-0204,True,92,0.43,2026-06-22,0.72,3,1.01
AC-011106,AST-02000,CTRL-0196,True,77,0.37,2026-08-02,1.0,1,1.12
AC-011107,AST-02000,CTRL-0200,True,94,0.69,2026-06-28,0.99,0,0.37
AC-011108,AST-02001,CTRL-0047,True,66,0.76,2026-06-10,0.52,2,0.55
AC-011109,AST-02001,CTRL-0044,True,80,0.86,2026-08-13,0.73,2,0.39
AC-011110,AST-02001,CTRL-0042,True,87,0.97,2026-08-16,0.86,2,0.19
AC-011111,AST-02001,CTRL-0043,True,70,0.74,2026-06-07,0.63,1,0.61
AC-011112,AST-02001,CTRL-0046,True,64,0.49,2026-07-23,0.9,3,0.66
AC-011113,AST-02001,CTRL-0049,True,86,0.44,2026-08-05,0.92,3,0.67
AC-011114,AST-02002,CTRL-0359,True,64,0.35,2026-08-18,0.85,2,3.38
AC-011115,AST-02002,CTRL-0357,True,72,0.36,2026-09-01,0.67,1,2.8
AC-011116,AST-02002,CTRL-0353,True,85,0.75,2026-08-21,0.75,2,1.42
AC-011117,AST-02002,CTRL-0352,False,0,0.0,2026-06-25,0.14,9,3.72
AC-011118,AST-02002,CTRL-0361,True,94,0.88,2026-07-27,0.56,1,0.75
AC-011119,AST-02002,CTRL-0360,False,0,0.0,2026-06-19,0.03,2,3.46
AC-011120,AST-02002,CTRL-0355,False,0,0.0,2026-08-26,0.01,2,3.9
AC-011121,AST-02002,CTRL-0370,True,60,0.72,2026-07-07,0.92,3,2.53
AC-011122,AST-02003,CTRL-0362,True,96,0.61,2026-06-26,0.61,1,1.75
AC-011123,AST-02003,CTRL-0370,True,74,0.68,2026-08-16,0.65,1,2.2
AC-011124,AST-02003,CTRL-0363,False,0,0.0,2026-06-10,0.05,7,4.85
AC-011125,AST-02003,CTRL-0364,True,88,0.72,2026-08-06,0.93,3,1.54
AC-011126,AST-02003,CTRL-0355,False,0,0.0,2026-08-30,0.1,0,5.41
AC-011127,AST-02004,CTRL-0039,True,91,0.67,2026-07-10,0.9,0,2.28
AC-011128,AST-02004,CTRL-0033,True,82,0.74,2026-06-24,0.71,2,2.47
AC-011129,AST-02004,CTRL-0031,False,0,0.0,2026-07-29,0.1,0,6.84
AC-011130,AST-02004,CTRL-0035,True,100,0.7,2026-09-03,0.98,3,2.07
AC-011131,AST-02004,CTRL-0036,False,0,0.0,2026-06-07,0.05,9,8.02
AC-011132,AST-02005,CTRL-0289,True,85,0.71,2026-06-12,0.66,0,0.34
AC-011133,AST-02005,CTRL-0277,True,98,0.38,2026-08-04,0.85,0,0.69
AC-011134,AST-02005,CTRL-0281,False,0,0.0,2026-07-06,0.19,2,1.14
AC-011135,AST-02005,CTRL-0288,True,85,0.62,2026-08-12,0.81,2,0.44
AC-011136,AST-02005,CTRL-0272,True,77,0.63,2026-06-07,0.74,3,0.54
AC-011137,AST-02005,CTRL-0290,False,0,0.0,2026-07-11,0.12,6,0.98
AC-011138,AST-02006,CTRL-0196,True,69,0.37,2026-09-03,0.57,1,5.91
AC-011139,AST-02006,CTRL-0197,True,89,0.46,2026-07-12,0.67,2,4.3
AC-011140,AST-02006,CTRL-0190,True,93,0.94,2026-07-24,0.51,1,1.38
AC-011141,AST-02006,CTRL-0189,True,74,0.66,2026-07-24,0.63,3,3.88
AC-011142,AST-02006,CTRL-0199,True,95,0.54,2026-07-17,0.91,0,2.93
AC-011143,AST-02006,CTRL-0193,False,0,0.0,2026-08-28,0.12,3,6.66
AC-011144,AST-02006,CTRL-0204,True,60,0.43,2026-07-12,0.6,3,5.99
AC-011145,AST-02006,CTRL-0205,True,81,0.76,2026-07-08,0.8,2,2.59
AC-011146,AST-02007,CTRL-0181,True,86,0.36,2026-08-09,0.73,3,4.94
AC-011147,AST-02007,CTRL-0186,True,83,0.79,2026-08-29,0.91,0,2.51
AC-011148,AST-02007,CTRL-0182,True,82,0.67,2026-08-11,0.93,2,3.6
AC-011149,AST-02007,CTRL-0183,True,67,0.31,2026-07-03,0.82,2,5.29
AC-011150,AST-02008,CTRL-0306,False,0,0.0,2026-07-03,0.28,2,8.51
AC-011151,AST-02008,CTRL-0314,True,69,0.53,2026-07-31,0.74,1,5.21
AC-011152,AST-02008,CTRL-0319,True,81,0.57,2026-06-17,0.89,2,4.01
AC-011153,AST-02008,CTRL-0308,True,75,0.65,2026-07-26,0.65,0,4.14
AC-011154,AST-02008,CTRL-0302,True,70,0.94,2026-07-02,0.82,0,2.58
AC-011155,AST-02009,CTRL-0199,True,98,0.64,2026-08-09,0.8,0,1.49
AC-011156,AST-02009,CTRL-0205,True,90,0.77,2026-07-24,0.86,1,1.25
AC-011157,AST-02009,CTRL-0187,False,0,0.0,2026-07-07,0.04,7,3.29
AC-011158,AST-02009,CTRL-0201,False,0,0.0,2026-06-27,0.16,2,3.49
AC-011159,AST-02009,CTRL-0203,True,86,0.66,2026-06-07,0.79,2,1.4
AC-011160,AST-02009,CTRL-0200,True,75,0.82,2026-08-08,0.72,2,1.51
AC-011161,AST-02010,CTRL-0087,False,0,0.0,2026-07-03,0.26,2,8.92
AC-011162,AST-02010,CTRL-0091,True,66,0.32,2026-07-23,0.86,0,6.4
AC-011163,AST-02010,CTRL-0084,False,0,0.0,2026-08-06,0.16,7,9.26
AC-011164,AST-02011,CTRL-0267,True,89,0.39,2026-07-06,0.98,1,5.5
AC-011165,AST-02011,CTRL-0264,False,0,0.0,2026-08-19,0.29,2,9.62
AC-011166,AST-02011,CTRL-0269,False,0,0.0,2026-08-23,0.27,4,9.33
AC-011167,AST-02011,CTRL-0266,True,65,0.54,2026-08-02,0.77,0,5.84
AC-011168,AST-02011,CTRL-0268,True,78,0.85,2026-08-12,0.79,2,3.48
AC-011169,AST-02011,CTRL-0270,True,65,0.97,2026-06-09,0.59,3,3.09
AC-011170,AST-02012,CTRL-0257,True,68,0.67,2026-06-11,0.89,3,2.42
AC-011171,AST-02012,CTRL-0253,False,0,0.0,2026-08-26,0.23,10,5.37
AC-011172,AST-02012,CTRL-0261,True,61,0.64,2026-06-21,0.82,3,2.79
AC-011173,AST-02012,CTRL-0249,True,91,0.55,2026-07-31,0.54,3,2.01
AC-011174,AST-02012,CTRL-0240,True,74,0.78,2026-06-17,0.93,0,2.38
AC-011175,AST-02012,CTRL-0242,False,0,0.0,2026-08-24,0.16,8,5.73
AC-011176,AST-02012,CTRL-0238,True,95,0.73,2026-06-26,0.77,1,1.33
AC-011177,AST-02012,CTRL-0260,True,95,0.73,2026-07-25,0.8,1,0.98
AC-011178,AST-02013,CTRL-0038,True,90,0.4,2026-07-25,0.6,2,5.99
AC-011179,AST-02013,CTRL-0035,True,68,0.76,2026-06-06,0.9,1,4.72
AC-011180,AST-02013,CTRL-0036,False,0,0.0,2026-08-30,0.13,2,8.08
AC-011181,AST-02013,CTRL-0039,True,71,0.83,2026-08-30,0.53,2,3.71
AC-011182,AST-02013,CTRL-0032,True,74,0.52,2026-08-20,0.54,1,4.97
AC-011183,AST-02013,CTRL-0030,True,83,0.42,2026-07-01,0.62,0,5.35
AC-011184,AST-02013,CTRL-0037,True,87,0.83,2026-08-04,0.98,2,1.43
AC-011185,AST-02013,CTRL-0031,False,0,0.0,2026-07-03,0.18,6,8.54
AC-011186,AST-02014,CTRL-0046,True,88,0.49,2026-08-13,0.64,0,4.09
AC-011187,AST-02014,CTRL-0043,True,75,0.74,2026-07-07,0.93,2,2.5
AC-011188,AST-02014,CTRL-0042,True,73,0.86,2026-07-15,0.97,0,2.13
AC-011189,AST-02014,CTRL-0049,True,70,0.44,2026-06-24,0.53,2,3.86
AC-011190,AST-02014,CTRL-0040,True,62,0.77,2026-08-14,0.85,0,3.97
AC-011191,AST-02014,CTRL-0041,True,69,0.59,2026-09-01,0.95,0,4.0
AC-011192,AST-02014,CTRL-0047,True,97,0.76,2026-07-02,0.8,2,1.78
AC-011193,AST-02015,CTRL-0043,True,65,0.71,2026-06-26,0.89,0,5.21
AC-011194,AST-02015,CTRL-0046,True,76,0.48,2026-09-03,0.54,0,6.38
AC-011195,AST-02015,CTRL-0044,True,61,0.89,2026-08-10,0.51,2,4.73
AC-011196,AST-02015,CTRL-0041,True,67,0.61,2026-08-22,1.0,2,4.62
AC-011197,AST-02015,CTRL-0049,True,97,0.48,2026-07-26,0.9,3,5.66
AC-011198,AST-02015,CTRL-0047,True,79,0.77,2026-07-31,0.74,1,4.44
AC-011199,AST-02015,CTRL-0040,True,88,0.69,2026-08-26,0.57,2,3.22
AC-011200,AST-02016,CTRL-0067,True,65,0.37,2026-08-27,0.98,3,6.64
AC-011201,AST-02016,CTRL-0066,True,60,0.47,2026-07-14,0.65,0,7.26
AC-011202,AST-02016,CTRL-0080,True,92,0.62,2026-08-16,0.58,1,3.78
AC-011203,AST-02016,CTRL-0077,False,0,0.0,2026-08-16,0.13,3,8.78
AC-011204,AST-02016,CTRL-0072,False,0,0.0,2026-08-09,0.16,4,9.27
AC-011205,AST-02017,CTRL-0027,True,74,0.6,2026-07-19,0.71,0,0.83
AC-011206,AST-02017,CTRL-0014,True,93,0.69,2026-07-28,0.9,0,0.44
AC-011207,AST-02017,CTRL-0021,True,90,0.59,2026-08-02,0.81,2,0.72
AC-011208,AST-02017,CTRL-0025,False,0,0.0,2026-08-31,0.2,1,1.47
AC-011209,AST-02017,CTRL-0022,True,69,0.52,2026-07-03,0.81,2,0.95
AC-011210,AST-02017,CTRL-0019,True,61,0.73,2026-08-17,0.62,0,0.77
AC-011211,AST-02017,CTRL-0018,False,0,0.0,2026-08-12,0.16,9,1.25
AC-011212,AST-02017,CTRL-0013,False,0,0.0,2026-06-26,0.09,7,1.48
AC-011213,AST-02018,CTRL-0269,False,0,0.0,2026-06-08,0.06,7,1.56
AC-011214,AST-02018,CTRL-0264,False,0,0.0,2026-08-16,0.26,7,1.82
AC-011215,AST-02018,CTRL-0268,True,84,0.72,2026-07-05,0.6,2,0.6
AC-011216,AST-02018,CTRL-0271,True,87,0.67,2026-06-15,0.55,0,0.82
AC-011217,AST-02018,CTRL-0265,True,63,0.8,2026-06-23,0.66,2,0.69
AC-011218,AST-02019,CTRL-0163,True,97,0.62,2026-08-20,0.64,1,3.2
AC-011219,AST-02019,CTRL-0175,False,0,0.0,2026-06-21,0.18,6,6.95
AC-011220,AST-02019,CTRL-0167,False,0,0.0,2026-06-08,0.02,7,6.0
AC-011221,AST-02019,CTRL-0164,True,87,0.48,2026-07-12,0.9,1,4.41
AC-011222,AST-02019,CTRL-0173,True,62,0.53,2026-07-02,0.86,2,4.27
AC-011223,AST-02019,CTRL-0166,True,85,0.75,2026-08-05,0.91,2,2.27
AC-011224,AST-02020,CTRL-0331,True,85,0.87,2026-08-18,0.83,1,1.83
AC-011225,AST-02020,CTRL-0342,False,0,0.0,2026-07-22,0.25,5,6.7
AC-011226,AST-02020,CTRL-0340,True,64,0.49,2026-07-18,0.9,0,5.89
AC-011227,AST-02020,CTRL-0337,True,75,0.68,2026-07-12,0.7,2,4.23
AC-011228,AST-02020,CTRL-0336,True,90,0.76,2026-07-04,0.95,1,1.79
AC-011229,AST-02021,CTRL-0090,True,64,0.63,2026-06-21,0.58,3,0.54
AC-011230,AST-02021,CTRL-0085,True,83,0.54,2026-06-07,0.61,1,0.44
AC-011231,AST-02021,CTRL-0091,True,67,0.32,2026-07-09,0.99,2,0.75
AC-011232,AST-02021,CTRL-0086,True,65,0.96,2026-07-04,0.68,3,0.35
AC-011233,AST-02022,CTRL-0353,True,68,0.73,2026-08-12,0.75,3,3.73
AC-011234,AST-02022,CTRL-0361,True,98,0.79,2026-06-19,0.81,2,1.2
AC-011235,AST-02022,CTRL-0358,True,97,0.42,2026-07-16,0.82,1,3.58
AC-011236,AST-02023,CTRL-0269,False,0,0.0,2026-08-19,0.13,8,8.37
AC-011237,AST-02023,CTRL-0270,True,81,0.84,2026-07-25,0.5,0,1.9
AC-011238,AST-02023,CTRL-0264,False,0,0.0,2026-07-15,0.1,9,6.85
AC-011239,AST-02023,CTRL-0265,True,100,0.89,2026-08-22,0.9,2,0.99
AC-011240,AST-02024,CTRL-0088,False,0,0.0,2026-08-21,0.18,5,8.03
AC-011241,AST-02024,CTRL-0085,True,90,0.55,2026-06-08,0.62,1,3.91
AC-011242,AST-02024,CTRL-0092,True,98,0.35,2026-07-30,0.68,1,4.82
AC-011243,AST-02024,CTRL-0084,False,0,0.0,2026-08-15,0.05,9,6.86
AC-011244,AST-02024,CTRL-0089,False,0,0.0,2026-06-15,0.24,5,6.68
AC-011245,AST-02024,CTRL-0091,True,92,0.35,2026-07-07,0.8,2,4.63
AC-011246,AST-02024,CTRL-0093,True,79,0.92,2026-07-03,0.9,3,2.74
AC-011247,AST-02025,CTRL-0198,True,63,0.6,2026-07-27,0.66,2,4.78
AC-011248,AST-02025,CTRL-0201,False,0,0.0,2026-07-26,0.22,7,7.44
AC-011249,AST-02025,CTRL-0193,False,0,0.0,2026-07-01,0.22,7,9.3
AC-011250,AST-02025,CTRL-0187,False,0,0.0,2026-07-16,0.03,6,9.0
AC-011251,AST-02025,CTRL-0200,True,76,0.81,2026-07-04,0.81,0,3.13
AC-011252,AST-02025,CTRL-0206,True,84,0.71,2026-08-09,0.67,3,3.09
AC-011253,AST-02025,CTRL-0204,True,82,0.36,2026-08-14,0.57,2,5.4
AC-011254,AST-02026,CTRL-0346,True,65,0.37,2026-07-06,0.77,2,3.59
AC-011255,AST-02026,CTRL-0348,True,75,0.55,2026-08-31,0.84,1,2.83
AC-011256,AST-02026,CTRL-0345,False,0,0.0,2026-08-25,0.1,3,5.72
AC-011257,AST-02026,CTRL-0344,True,67,0.55,2026-08-04,0.55,3,2.64
AC-011258,AST-02026,CTRL-0351,True,61,0.76,2026-06-16,0.99,3,2.46
AC-011259,AST-02026,CTRL-0349,True,86,0.79,2026-06-22,0.58,1,0.99
AC-011260,AST-02026,CTRL-0350,False,0,0.0,2026-07-15,0.21,9,4.91
AC-011261,AST-02027,CTRL-0045,True,83,0.31,2026-06-15,0.91,3,1.35
AC-011262,AST-02027,CTRL-0046,True,77,0.57,2026-06-06,0.94,1,1.0
AC-011263,AST-02027,CTRL-0049,True,72,0.42,2026-06-14,0.82,3,1.0
AC-011264,AST-02027,CTRL-0043,True,81,0.82,2026-07-06,0.91,3,0.66
AC-011265,AST-02027,CTRL-0042,True,93,0.89,2026-07-27,0.92,2,0.22
AC-011266,AST-02027,CTRL-0048,True,72,0.37,2026-06-10,0.7,2,1.11
AC-011267,AST-02027,CTRL-0040,True,93,0.68,2026-08-22,0.52,3,0.67
AC-011268,AST-02028,CTRL-0231,False,0,0.0,2026-08-03,0.22,6,8.32
AC-011269,AST-02028,CTRL-0227,True,60,0.93,2026-06-25,0.93,0,4.23
AC-011270,AST-02028,CTRL-0236,True,97,0.48,2026-08-17,0.51,2,3.89
AC-011271,AST-02028,CTRL-0228,False,0,0.0,2026-07-31,0.13,5,7.78
AC-011272,AST-02028,CTRL-0226,True,67,0.73,2026-08-24,0.84,1,4.21
AC-011273,AST-02029,CTRL-0185,True,90,0.39,2026-06-17,0.55,1,5.73
AC-011274,AST-02029,CTRL-0181,True,75,0.29,2026-08-14,0.57,2,8.09
AC-011275,AST-02029,CTRL-0182,True,98,0.61,2026-08-07,0.67,3,3.96
AC-011276,AST-02030,CTRL-0235,True,80,0.8,2026-06-08,0.53,2,3.25
AC-011277,AST-02030,CTRL-0223,False,0,0.0,2026-08-05,0.22,1,10.25
AC-011278,AST-02030,CTRL-0233,True,60,0.44,2026-07-01,0.88,0,6.0
AC-011279,AST-02030,CTRL-0224,False,0,0.0,2026-08-10,0.09,8,8.27
AC-011280,AST-02030,CTRL-0222,True,77,0.64,2026-08-09,0.82,2,5.53
AC-011281,AST-02030,CTRL-0229,True,88,0.34,2026-08-28,0.96,3,5.57
AC-011282,AST-02030,CTRL-0232,False,0,0.0,2026-08-08,0.06,7,10.95
AC-011283,AST-02031,CTRL-0099,True,79,0.45,2026-06-28,0.71,3,1.06
AC-011284,AST-02031,CTRL-0095,True,66,0.64,2026-08-30,0.6,1,0.98
AC-011285,AST-02031,CTRL-0097,True,77,0.39,2026-08-21,0.73,3,1.46
AC-011286,AST-02031,CTRL-0113,False,0,0.0,2026-08-20,0.06,4,2.07
AC-011287,AST-02031,CTRL-0102,False,0,0.0,2026-08-19,0.28,5,2.16
AC-011288,AST-02032,CTRL-0061,False,0,0.0,2026-07-04,0.07,4,1.91
AC-011289,AST-02032,CTRL-0064,True,67,0.35,2026-08-13,0.86,1,1.18
AC-011290,AST-02032,CTRL-0063,True,94,0.88,2026-08-20,0.97,3,0.27
AC-011291,AST-02032,CTRL-0052,False,0,0.0,2026-06-11,0.25,8,1.62
