iam_event_id,organization_id,asset_id,user_count,privileged_user_count,orphan_accounts,inactive_accounts,mfa_enabled_percentage,excessive_privilege_count,failed_login_count,suspicious_login_count,password_policy_score,privileged_access_risk,identity_risk_score
IAM-002488,ORG-025,AST-02488,73,1,1,5,43,0,174,21,0.98,Low,5.8
IAM-002489,ORG-008,AST-02489,53,2,0,1,38,0,70,2,0.42,Low,3.9
IAM-002490,ORG-010,AST-02490,372,12,6,7,89,1,34,4,0.51,Low,2.7
IAM-002491,ORG-005,AST-02491,455,4,3,13,67,0,116,18,0.53,Low,4.4
IAM-002492,ORG-015,AST-02492,406,4,7,31,77,3,46,0,0.55,High,4.9
IAM-002493,ORG-019,AST-02493,225,7,11,15,66,0,25,5,0.59,Low,4.9
IAM-002494,ORG-018,AST-02494,96,4,0,2,43,1,131,4,1.0,Low,5.4
IAM-002495,ORG-008,AST-02495,445,1,8,31,35,1,79,6,0.45,High,9.7
IAM-002496,ORG-024,AST-02496,126,1,2,4,50,1,31,6,0.41,High,7.3
IAM-002497,ORG-008,AST-02497,343,28,17,18,37,2,153,7,0.71,Low,8.4
IAM-002498,ORG-013,AST-02498,432,2,20,2,77,2,178,16,0.46,High,9.9
IAM-002499,ORG-023,AST-02499,110,1,2,4,87,0,55,0,0.46,Low,1.6
IAM-002500,ORG-022,AST-02500,327,16,8,30,56,2,57,8,0.41,Low,5.6
IAM-002501,ORG-024,AST-02501,446,32,0,19,87,7,84,4,0.65,Medium,2.0
IAM-002502,ORG-006,AST-02502,403,37,7,23,81,27,157,20,0.53,High,7.1
IAM-002503,ORG-004,AST-02503,474,15,10,13,62,1,114,7,0.75,Low,5.1
IAM-002504,ORG-005,AST-02504,362,29,13,26,85,16,177,16,0.83,High,6.6
IAM-002505,ORG-020,AST-02505,114,3,5,5,75,0,84,5,0.33,Low,2.8
IAM-002506,ORG-003,AST-02506,428,4,17,30,40,1,11,1,0.42,Low,8.5
IAM-002507,ORG-019,AST-02507,342,16,15,17,39,12,24,0,0.94,High,9.4
IAM-002508,ORG-011,AST-02508,339,22,0,16,48,17,47,0,0.47,High,5.8
IAM-002509,ORG-009,AST-02509,314,30,4,25,93,25,93,14,0.42,High,5.5
IAM-002510,ORG-022,AST-02510,23,1,0,0,90,0,10,0,0.74,Low,0.4
IAM-002511,ORG-018,AST-02511,298,6,9,15,50,6,44,8,0.41,High,9.1
IAM-002512,ORG-015,AST-02512,138,1,6,1,53,0,154,17,0.85,Low,5.6
IAM-002513,ORG-016,AST-02513,377,31,0,36,93,17,74,11,0.35,High,3.3
IAM-002514,ORG-011,AST-02514,95,3,0,6,63,3,132,9,0.43,High,6.4
IAM-002515,ORG-002,AST-02515,71,1,1,6,56,1,83,0,1.0,High,5.7
IAM-002516,ORG-022,AST-02516,134,7,1,12,47,4,59,5,0.85,High,6.3
IAM-002517,ORG-005,AST-02517,340,31,9,9,35,18,118,19,0.66,High,10
IAM-002518,ORG-005,AST-02518,402,30,13,32,96,2,121,15,0.86,Low,4.3
IAM-002519,ORG-023,AST-02519,241,5,6,2,95,3,32,2,0.46,High,3.9
IAM-002520,ORG-024,AST-02520,365,24,1,3,76,22,116,9,0.6,High,5.2
IAM-002521,ORG-024,AST-02521,317,23,4,30,69,13,159,15,0.9,High,6.0
IAM-002522,ORG-019,AST-02522,287,26,12,26,42,16,19,1,0.73,High,8.1
IAM-002523,ORG-010,AST-02523,236,22,11,18,98,8,16,1,0.85,Medium,3.6
IAM-002524,ORG-008,AST-02524,14,1,0,0,65,1,36,6,0.79,High,5.8
IAM-002525,ORG-015,AST-02525,247,10,6,16,34,1,7,0,0.46,Low,6.0
IAM-002526,ORG-008,AST-02526,321,29,4,28,54,9,85,15,0.88,Medium,6.5
IAM-002527,ORG-006,AST-02527,421,40,1,30,81,5,50,0,0.31,Medium,2.1
IAM-002528,ORG-003,AST-02528,117,3,3,0,44,3,131,6,0.57,High,7.9
IAM-002529,ORG-010,AST-02529,151,13,0,12,75,1,31,2,0.79,Low,1.9
IAM-002530,ORG-015,AST-02530,91,3,2,4,58,2,183,11,0.67,High,5.9
IAM-002531,ORG-024,AST-02531,405,1,11,10,38,0,62,6,0.87,Low,6.6
IAM-002532,ORG-004,AST-02532,363,19,2,15,63,19,15,1,0.52,High,5.7
IAM-002533,ORG-010,AST-02533,311,16,15,23,90,1,149,4,0.51,Low,3.9
IAM-002534,ORG-017,AST-02534,65,2,1,1,49,0,99,17,0.74,Low,5.6
IAM-002535,ORG-011,AST-02535,361,30,1,30,86,13,69,8,0.71,Medium,3.7
IAM-002536,ORG-018,AST-02536,261,7,3,10,57,1,30,6,0.43,Low,4.6
IAM-002537,ORG-013,AST-02537,382,17,0,0,50,16,146,18,0.7,High,8.0
IAM-002538,ORG-022,AST-02538,293,29,8,21,85,6,168,25,0.8,Medium,5.9
IAM-002539,ORG-008,AST-02539,29,2,0,0,56,1,32,1,0.51,Low,4.6
IAM-002540,ORG-007,AST-02540,28,2,1,2,47,2,2,1,0.5,High,6.9
IAM-002541,ORG-006,AST-02541,373,30,15,6,53,7,100,7,0.42,Medium,7.2
IAM-002542,ORG-022,AST-02542,87,6,4,8,62,4,12,1,0.47,High,5.4
IAM-002543,ORG-018,AST-02543,474,4,10,16,91,1,98,8,0.35,Low,4.2
IAM-002544,ORG-022,AST-02544,292,10,4,12,99,9,111,21,0.88,High,5.2
IAM-002545,ORG-018,AST-02545,50,2,1,3,36,1,78,14,0.58,Low,7.4
IAM-002546,ORG-022,AST-02546,24,1,1,0,46,0,170,34,0.83,Low,7.6
IAM-002547,ORG-003,AST-02547,172,6,3,12,53,3,95,15,0.33,Medium,6.5
IAM-002548,ORG-011,AST-02548,152,3,5,5,53,2,0,0,0.57,High,6.3
IAM-002549,ORG-011,AST-02549,441,41,19,9,53,29,158,23,0.79,High,10
IAM-002550,ORG-001,AST-02550,26,1,1,0,87,1,43,3,0.81,High,4.6
IAM-002551,ORG-018,AST-02551,143,12,7,4,82,5,51,8,0.55,Medium,5.0
IAM-002552,ORG-012,AST-02552,486,39,10,10,86,35,84,8,0.86,High,6.1
IAM-002553,ORG-011,AST-02553,381,15,15,8,39,14,167,28,0.54,High,10
IAM-002554,ORG-010,AST-02554,438,6,18,26,71,1,147,28,0.85,Low,9.2
IAM-002555,ORG-020,AST-02555,294,3,14,3,30,1,154,30,0.44,Low,10
IAM-002556,ORG-024,AST-02556,16,2,0,0,98,1,144,23,0.71,Low,3.6
IAM-002557,ORG-019,AST-02557,485,32,5,48,57,17,22,3,0.8,High,6.1
IAM-002558,ORG-015,AST-02558,133,2,3,1,34,1,137,9,0.75,Low,7.3
IAM-002559,ORG-009,AST-02559,241,10,11,6,51,1,125,9,0.96,Low,6.3
IAM-002560,ORG-025,AST-02560,428,23,3,38,93,23,28,3,0.91,High,4.4
IAM-002561,ORG-009,AST-02561,481,9,23,10,65,6,88,10,0.66,High,9.8
IAM-002562,ORG-023,AST-02562,340,32,17,0,93,20,122,7,0.81,High,6.8
IAM-002563,ORG-005,AST-02563,454,40,5,43,68,9,84,5,0.99,Medium,4.8
IAM-002564,ORG-012,AST-02564,302,23,4,9,61,18,199,31,0.8,High,8.4
IAM-002565,ORG-023,AST-02565,427,13,12,18,73,11,156,14,0.65,High,8.5
IAM-002566,ORG-010,AST-02566,283,27,14,4,84,10,77,10,0.67,Medium,5.6
IAM-002567,ORG-016,AST-02567,206,12,10,7,64,9,68,2,0.69,High,6.7
IAM-002568,ORG-020,AST-02568,358,26,9,18,52,7,155,8,0.63,Medium,6.5
IAM-002569,ORG-019,AST-02569,225,17,8,17,34,17,117,17,0.65,High,10
IAM-002570,ORG-015,AST-02570,295,25,14,13,79,10,74,12,0.39,Medium,7.0
IAM-002571,ORG-001,AST-02571,133,11,3,7,76,1,14,1,0.37,Low,3.0
IAM-002572,ORG-006,AST-02572,175,11,1,10,32,3,85,17,0.92,Medium,7.2
IAM-002573,ORG-021,AST-02573,478,2,14,34,76,2,142,15,0.44,High,8.6
IAM-002574,ORG-006,AST-02574,45,3,1,2,42,1,17,2,0.75,Low,5.6
IAM-002575,ORG-001,AST-02575,248,22,6,23,51,13,198,27,0.37,High,9.2
IAM-002576,ORG-007,AST-02576,151,2,1,6,86,1,153,11,0.42,Low,3.7
IAM-002577,ORG-020,AST-02577,368,17,18,6,57,2,190,25,0.76,Low,9.2
IAM-002578,ORG-002,AST-02578,209,3,8,11,47,0,27,2,0.87,Low,5.6
IAM-002579,ORG-011,AST-02579,413,28,13,15,56,7,6,0,0.57,Medium,6.4
IAM-002580,ORG-024,AST-02580,491,32,11,7,88,27,133,9,0.8,High,6.8
IAM-002581,ORG-015,AST-02581,149,2,3,10,63,0,35,7,0.78,Low,3.3
IAM-002582,ORG-020,AST-02582,363,34,9,21,69,33,176,19,0.94,High,8.7
IAM-002583,ORG-012,AST-02583,217,18,5,13,68,18,69,9,0.81,High,7.1
IAM-002584,ORG-021,AST-02584,140,3,3,11,90,3,143,11,0.45,High,5.8
IAM-002585,ORG-001,AST-02585,319,13,11,23,48,1,58,1,0.55,Low,6.4
IAM-002586,ORG-013,AST-02586,182,3,2,5,95,3,26,2,0.39,High,4.0
IAM-002587,ORG-018,AST-02587,237,3,8,10,40,1,69,0,0.7,Low,6.6
IAM-002588,ORG-008,AST-02588,15,1,0,0,31,1,170,6,0.35,High,7.7
IAM-002589,ORG-025,AST-02589,256,10,10,25,60,9,29,3,0.61,High,7.2
IAM-002590,ORG-001,AST-02590,316,28,13,21,100,1,69,9,0.86,Low,3.9
IAM-002591,ORG-010,AST-02591,282,6,9,12,44,1,142,24,0.34,Low,8.6
IAM-002592,ORG-020,AST-02592,254,22,8,5,37,10,108,11,0.97,Medium,8.0
IAM-002593,ORG-006,AST-02593,441,40,2,23,33,18,103,9,0.85,Medium,7.5
IAM-002594,ORG-025,AST-02594,178,14,4,4,33,12,128,13,0.68,High,9.5
IAM-002595,ORG-015,AST-02595,98,7,3,5,98,1,197,3,0.61,Low,1.6
IAM-002596,ORG-012,AST-02596,483,35,10,45,73,17,83,15,0.59,Medium,6.4
IAM-002597,ORG-011,AST-02597,199,3,3,8,37,1,123,24,0.83,Low,8.1
IAM-002598,ORG-016,AST-02598,198,16,8,10,57,8,81,0,0.96,Medium,5.5
IAM-002599,ORG-005,AST-02599,202,2,9,6,86,0,42,1,0.59,Low,2.7
IAM-002600,ORG-012,AST-02600,124,6,0,9,84,1,113,6,0.45,Low,1.8
IAM-002601,ORG-008,AST-02601,66,6,0,0,30,6,95,0,0.64,High,7.4
IAM-002602,ORG-010,AST-02602,175,9,0,1,97,1,39,5,0.81,Low,0.5
IAM-002603,ORG-025,AST-02603,38,1,1,1,44,1,17,2,0.45,High,7.1
IAM-002604,ORG-020,AST-02604,345,29,17,30,64,23,173,6,0.49,High,9.0
IAM-002605,ORG-022,AST-02605,129,4,3,10,47,3,155,6,0.34,High,6.7
IAM-002606,ORG-005,AST-02606,33,2,1,2,63,1,185,15,0.58,Low,6.0
IAM-002607,ORG-008,AST-02607,488,6,15,40,54,2,62,3,0.96,Low,7.5
IAM-002608,ORG-011,AST-02608,329,1,4,17,52,1,136,15,0.41,High,8.8
IAM-002609,ORG-008,AST-02609,481,42,21,37,34,41,179,15,0.88,High,10
IAM-002610,ORG-003,AST-02610,116,8,1,8,91,8,143,27,0.38,High,6.5
IAM-002611,ORG-022,AST-02611,465,33,3,12,87,13,143,16,0.83,Medium,4.1
IAM-002612,ORG-025,AST-02612,471,35,5,17,30,31,121,2,0.71,High,8.5
IAM-002613,ORG-005,AST-02613,169,14,8,4,93,14,141,28,0.56,High,8.3
IAM-002614,ORG-008,AST-02614,363,30,0,31,32,29,41,8,0.75,High,8.5
IAM-002615,ORG-007,AST-02615,274,22,13,7,59,3,199,2,0.87,Medium,6.2
IAM-002616,ORG-017,AST-02616,396,18,0,36,90,10,69,1,0.45,High,2.9
IAM-002617,ORG-003,AST-02617,451,17,11,24,96,12,127,11,0.79,High,6.1
IAM-002618,ORG-009,AST-02618,171,16,2,6,95,13,62,7,0.75,High,3.5
IAM-002619,ORG-012,AST-02619,44,4,2,4,86,4,166,11,0.73,High,5.6
IAM-002620,ORG-002,AST-02620,129,5,4,8,33,3,34,5,0.52,High,7.8
IAM-002621,ORG-014,AST-02621,310,16,3,3,44,10,106,21,0.34,High,8.5
IAM-002622,ORG-021,AST-02622,216,13,0,15,76,1,44,0,0.59,Low,1.8
IAM-002623,ORG-023,AST-02623,142,4,3,2,77,3,166,10,0.36,High,5.2
IAM-002624,ORG-023,AST-02624,247,19,7,23,30,7,31,6,0.62,Medium,8.1
IAM-002625,ORG-015,AST-02625,144,12,1,0,50,9,130,10,0.65,High,6.4
IAM-002626,ORG-018,AST-02626,229,5,7,7,100,3,140,19,0.99,High,5.1
IAM-002627,ORG-006,AST-02627,203,5,3,15,50,4,99,12,0.65,High,7.4
IAM-002628,ORG-011,AST-02628,169,5,6,11,36,5,179,25,0.86,High,10
IAM-002629,ORG-019,AST-02629,452,11,16,37,71,4,36,1,0.32,Medium,6.4
IAM-002630,ORG-013,AST-02630,78,4,2,3,92,1,169,23,0.83,Low,4.0
IAM-002631,ORG-013,AST-02631,203,2,0,14,69,2,100,7,0.97,High,6.1
IAM-002632,ORG-006,AST-02632,304,25,11,18,66,25,108,4,0.76,High,7.6
IAM-002633,ORG-012,AST-02633,135,6,2,4,95,5,15,0,0.37,High,3.3
IAM-002634,ORG-022,AST-02634,293,26,13,12,37,25,20,0,0.9,High,9.2
IAM-002635,ORG-019,AST-02635,35,3,1,0,32,3,32,2,0.9,High,7.9
IAM-002636,ORG-011,AST-02636,9,2,0,0,32,1,152,18,0.58,Low,8.2
IAM-002637,ORG-015,AST-02637,271,14,4,17,97,9,162,6,0.83,High,3.3
IAM-002638,ORG-019,AST-02638,317,28,11,11,88,25,62,2,0.62,High,5.9
IAM-002639,ORG-019,AST-02639,308,16,8,9,65,8,178,5,0.78,Medium,5.7
IAM-002640,ORG-002,AST-02640,289,5,0,12,71,3,73,8,0.69,High,4.7
IAM-002641,ORG-007,AST-02641,18,2,0,1,79,1,173,23,0.8,Low,5.1
IAM-002642,ORG-012,AST-02642,298,25,7,10,93,23,128,14,0.95,High,6.3
IAM-002643,ORG-006,AST-02643,162,1,3,5,93,0,136,0,0.51,Low,1.2
IAM-002644,ORG-012,AST-02644,81,8,4,8,36,0,102,0,0.4,Low,5.1
IAM-002645,ORG-013,AST-02645,87,8,3,4,55,4,30,0,0.93,Medium,5.0
IAM-002646,ORG-018,AST-02646,379,7,2,0,50,3,183,21,0.61,Medium,6.7
IAM-002647,ORG-025,AST-02647,129,4,5,8,58,4,87,4,0.6,High,6.9
IAM-002648,ORG-013,AST-02648,450,32,12,20,40,25,41,8,0.78,High,9.6
IAM-002649,ORG-019,AST-02649,160,15,0,2,49,12,178,11,0.4,High,6.6
IAM-002650,ORG-010,AST-02650,273,16,8,0,67,2,163,26,0.49,Low,7.2
IAM-002651,ORG-002,AST-02651,430,8,2,10,43,1,164,2,0.34,Low,4.5
IAM-002652,ORG-021,AST-02652,288,24,6,26,80,16,174,0,0.56,High,4.1
IAM-002653,ORG-008,AST-02653,240,19,8,18,64,6,12,1,0.52,Medium,5.1
IAM-002654,ORG-013,AST-02654,289,9,1,1,52,4,129,21,0.51,Medium,6.7
IAM-002655,ORG-009,AST-02655,161,15,7,3,36,10,131,13,0.64,High,8.6
IAM-002656,ORG-025,AST-02656,200,9,7,15,48,4,121,6,0.6,Medium,6.6
IAM-002657,ORG-024,AST-02657,435,29,5,19,83,0,83,11,0.77,Low,3.7
IAM-002658,ORG-014,AST-02658,90,7,2,9,80,3,59,3,0.4,Medium,3.8
IAM-002659,ORG-022,AST-02659,68,1,0,0,93,0,120,1,0.5,Low,0.2
IAM-002660,ORG-025,AST-02660,405,12,1,6,82,11,108,9,0.82,High,4.6
IAM-002661,ORG-003,AST-02661,246,20,2,5,39,0,142,0,0.73,Low,4.8
IAM-002662,ORG-015,AST-02662,252,18,6,4,65,0,118,19,0.42,Low,5.8
IAM-002663,ORG-007,AST-02663,222,4,11,4,49,4,67,6,0.39,High,9.0
IAM-002664,ORG-019,AST-02664,31,2,1,0,66,2,199,10,0.67,High,6.7
IAM-002665,ORG-016,AST-02665,413,22,13,3,99,22,26,5,0.69,High,5.9
IAM-002666,ORG-002,AST-02666,15,1,0,0,98,0,110,7,0.93,Low,0.6
IAM-002667,ORG-001,AST-02667,388,7,18,15,62,0,106,7,0.79,Low,6.5
IAM-002668,ORG-022,AST-02668,86,3,1,3,46,3,111,12,0.78,High,7.8
IAM-002669,ORG-023,AST-02669,209,20,9,13,70,1,132,13,0.44,Low,5.3
IAM-002670,ORG-024,AST-02670,58,4,2,4,38,4,90,10,0.69,High,8.1
IAM-002671,ORG-020,AST-02671,400,37,10,9,39,11,134,3,0.99,Medium,7.6
IAM-002672,ORG-008,AST-02672,31,1,1,3,66,1,149,19,0.32,High,7.0
IAM-002673,ORG-010,AST-02673,11,2,0,1,70,0,172,33,0.46,Low,5.3
IAM-002674,ORG-010,AST-02674,53,4,1,0,37,4,155,8,0.89,High,8.1
IAM-002675,ORG-017,AST-02675,364,3,10,11,93,1,11,0,0.3,Low,3.7
IAM-002676,ORG-006,AST-02676,144,11,2,7,68,9,92,0,0.74,High,4.8
IAM-002677,ORG-007,AST-02677,39,1,1,3,33,1,19,3,0.51,High,7.7
IAM-002678,ORG-006,AST-02678,340,5,4,34,65,0,150,9,0.44,Low,3.6
IAM-002679,ORG-008,AST-02679,6,2,0,0,41,0,89,16,0.39,Low,5.1
IAM-002680,ORG-024,AST-02680,477,29,2,30,56,21,75,4,0.75,High,6.0
IAM-002681,ORG-013,AST-02681,68,4,3,6,91,0,167,29,0.98,Low,3.9
IAM-002682,ORG-017,AST-02682,338,1,5,30,46,1,97,18,0.45,High,9.6
IAM-002683,ORG-006,AST-02683,332,20,10,11,85,18,99,15,0.33,High,7.7
IAM-002684,ORG-001,AST-02684,267,3,9,6,72,0,115,18,0.33,Low,5.7
IAM-002685,ORG-012,AST-02685,140,5,3,1,93,4,10,2,0.86,High,3.4
IAM-002686,ORG-024,AST-02686,269,4,12,1,67,4,56,4,0.42,High,8.0
IAM-002687,ORG-022,AST-02687,303,25,4,3,88,8,165,24,0.79,Medium,4.5
IAM-002688,ORG-001,AST-02688,69,2,3,0,74,0,77,0,0.54,Low,2.8
IAM-002689,ORG-015,AST-02689,119,2,4,8,53,0,144,12,0.69,Low,5.5
IAM-002690,ORG-001,AST-02690,24,1,1,1,60,1,14,2,0.32,High,5.8
IAM-002691,ORG-001,AST-02691,217,13,8,20,54,0,138,14,0.4,Low,5.8
IAM-002692,ORG-007,AST-02692,338,28,16,7,54,1,185,2,0.57,Low,6.5
IAM-002693,ORG-023,AST-02693,63,2,0,6,61,2,98,16,0.46,High,7.7
IAM-002694,ORG-003,AST-02694,320,20,4,8,79,5,69,10,0.9,Medium,3.9
IAM-002695,ORG-022,AST-02695,300,15,0,6,46,14,113,8,0.44,High,7.4
IAM-002696,ORG-007,AST-02696,410,37,17,3,72,25,139,15,0.3,High,9.0
IAM-002697,ORG-004,AST-02697,77,5,1,6,83,2,102,4,0.6,Low,3.0
IAM-002698,ORG-013,AST-02698,26,2,0,0,33,0,60,9,0.74,Low,5.4
IAM-002699,ORG-016,AST-02699,186,2,8,2,88,0,65,11,0.4,Low,3.7
IAM-002700,ORG-024,AST-02700,224,16,7,6,41,9,130,22,0.95,High,9.1
IAM-002701,ORG-008,AST-02701,186,3,8,4,90,1,49,0,0.97,Low,3.5
IAM-002702,ORG-006,AST-02702,462,28,22,28,83,5,153,0,0.83,Medium,6.2
IAM-002703,ORG-019,AST-02703,136,5,3,7,64,0,146,26,0.36,Low,5.7
IAM-002704,ORG-011,AST-02704,67,6,2,5,70,6,113,6,0.98,High,5.7
IAM-002705,ORG-008,AST-02705,249,9,9,23,68,2,26,1,0.38,Low,4.3
IAM-002706,ORG-019,AST-02706,381,4,16,15,71,3,99,0,0.57,High,7.6
IAM-002707,ORG-019,AST-02707,102,7,2,10,69,6,27,2,0.37,High,5.3
IAM-002708,ORG-013,AST-02708,163,5,6,10,86,2,0,1,0.65,Low,3.5
IAM-002709,ORG-010,AST-02709,209,17,7,20,67,12,109,17,0.5,High,7.1
IAM-002710,ORG-008,AST-02710,404,18,13,18,96,10,187,35,0.71,High,7.7
IAM-002711,ORG-011,AST-02711,116,8,3,2,69,5,78,7,0.88,High,4.8
IAM-002712,ORG-019,AST-02712,467,31,14,41,31,30,5,0,0.52,High,10
IAM-002713,ORG-023,AST-02713,425,32,13,22,45,8,23,2,0.64,Medium,6.7
IAM-002714,ORG-014,AST-02714,214,4,5,16,41,4,70,9,0.92,High,8.5
IAM-002715,ORG-001,AST-02715,114,6,2,1,66,6,17,1,0.89,High,5.5
IAM-002716,ORG-021,AST-02716,469,35,17,20,87,30,37,3,0.65,High,6.7
IAM-002717,ORG-011,AST-02717,150,13,7,10,91,9,2,0,0.66,High,4.6
IAM-002718,ORG-016,AST-02718,498,44,17,29,41,42,30,4,0.45,High,10
IAM-002719,ORG-002,AST-02719,92,8,3,3,74,0,76,1,0.63,Low,2.0
IAM-002720,ORG-006,AST-02720,32,3,0,2,71,3,80,12,0.76,High,6.4
IAM-002721,ORG-003,AST-02721,112,11,1,11,64,8,96,18,0.39,High,6.5
IAM-002722,ORG-017,AST-02722,129,11,1,8,42,8,132,9,0.6,High,7.5
IAM-002723,ORG-021,AST-02723,149,1,5,7,51,0,74,4,0.64,Low,4.6
IAM-002724,ORG-008,AST-02724,352,35,7,15,39,5,57,2,0.75,Medium,6.5
IAM-002725,ORG-006,AST-02725,362,10,14,27,57,9,75,3,0.67,High,8.3
IAM-002726,ORG-006,AST-02726,123,2,6,0,82,2,68,7,0.45,High,5.7
IAM-002727,ORG-002,AST-02727,312,5,15,17,75,1,108,4,0.32,Low,6.1
IAM-002728,ORG-001,AST-02728,396,36,8,19,75,36,161,27,0.65,High,8.9
IAM-002729,ORG-007,AST-02729,194,4,0,3,67,4,123,12,0.87,High,6.2
IAM-002730,ORG-006,AST-02730,26,2,0,0,69,0,23,4,0.7,Low,2.4
IAM-002731,ORG-010,AST-02731,128,4,3,4,34,2,174,0,0.89,Low,6.8
IAM-002732,ORG-022,AST-02732,252,20,3,16,35,4,4,0,0.85,Medium,5.7
IAM-002733,ORG-019,AST-02733,61,1,1,0,56,0,12,2,0.76,Low,3.4
IAM-002734,ORG-015,AST-02734,340,2,13,31,83,1,40,1,0.63,Low,4.9
IAM-002735,ORG-024,AST-02735,495,25,13,20,56,4,1,0,0.8,Medium,5.7
IAM-002736,ORG-006,AST-02736,208,2,8,17,74,2,191,35,0.81,High,10
IAM-002737,ORG-011,AST-02737,45,2,0,4,72,0,96,7,0.79,Low,2.8
IAM-002738,ORG-010,AST-02738,280,25,8,20,35,22,104,9,0.79,High,9.3
IAM-002739,ORG-025,AST-02739,111,3,4,3,79,0,3,1,0.4,Low,2.1
IAM-002740,ORG-025,AST-02740,266,22,3,3,94,4,134,6,0.82,Medium,2.0
IAM-002741,ORG-014,AST-02741,420,21,2,18,51,0,190,19,0.44,Low,5.4
IAM-002742,ORG-007,AST-02742,121,2,4,4,93,0,79,4,0.87,Low,1.5
IAM-002743,ORG-001,AST-02743,121,12,6,6,82,3,116,19,0.76,Medium,4.7
IAM-002744,ORG-006,AST-02744,257,2,11,7,83,0,200,7,0.93,Low,4.0
IAM-002745,ORG-022,AST-02745,124,11,6,12,63,11,197,13,0.47,High,8.1
IAM-002746,ORG-015,AST-02746,198,16,9,16,35,11,14,2,0.63,High,8.4
IAM-002747,ORG-025,AST-02747,173,4,8,17,31,1,127,4,0.8,Low,7.4
IAM-002748,ORG-015,AST-02748,149,11,6,5,67,2,80,0,0.86,Low,4.3
IAM-002749,ORG-005,AST-02749,301,22,15,2,48,5,103,2,0.42,Medium,7.4
IAM-002750,ORG-014,AST-02750,195,19,4,15,83,3,47,4,0.48,Medium,2.4
IAM-002751,ORG-022,AST-02751,126,12,3,5,72,4,62,1,0.86,Medium,4.0
IAM-002752,ORG-019,AST-02752,215,11,6,8,35,4,120,18,0.68,Medium,8.1
IAM-002753,ORG-007,AST-02753,486,21,0,28,36,11,175,24,0.79,High,8.0
IAM-002754,ORG-001,AST-02754,429,24,2,20,31,8,39,1,0.85,Medium,6.5
IAM-002755,ORG-021,AST-02755,221,15,9,18,30,11,64,12,0.8,High,10
IAM-002756,ORG-003,AST-02756,90,5,1,3,44,1,13,1,0.32,Low,4.5
IAM-002757,ORG-023,AST-02757,378,17,11,21,33,6,185,22,0.44,Medium,9.7
IAM-002758,ORG-025,AST-02758,14,1,0,0,68,1,178,29,0.55,High,7.8
IAM-002759,ORG-024,AST-02759,48,4,0,4,46,0,161,30,0.66,Low,6.7
IAM-002760,ORG-014,AST-02760,281,18,8,22,44,18,4,1,0.91,High,8.7
IAM-002761,ORG-004,AST-02761,23,2,0,0,52,0,165,27,0.78,Low,5.6
IAM-002762,ORG-016,AST-02762,302,28,11,24,87,13,1,1,0.94,Medium,4.7
IAM-002763,ORG-023,AST-02763,447,42,10,25,49,10,49,9,0.85,Medium,6.8
IAM-002764,ORG-007,AST-02764,441,28,12,1,41,8,85,9,0.87,Medium,8.2
IAM-002765,ORG-013,AST-02765,421,34,2,4,56,16,43,7,0.87,Medium,5.3
IAM-002766,ORG-010,AST-02766,300,6,1,10,71,2,35,6,0.51,Low,3.9
IAM-002767,ORG-022,AST-02767,452,33,22,44,67,23,75,10,0.73,High,9.3
IAM-002768,ORG-024,AST-02768,421,24,13,11,85,0,168,32,0.41,Low,6.9
IAM-002769,ORG-003,AST-02769,489,26,15,39,38,16,163,13,0.52,High,10
IAM-002770,ORG-014,AST-02770,220,9,11,10,87,2,147,3,0.92,Low,4.5
IAM-002771,ORG-013,AST-02771,142,4,7,1,32,1,168,14,0.86,Low,8.0
IAM-002772,ORG-011,AST-02772,461,38,22,29,69,6,42,2,0.94,Medium,7.0
IAM-002773,ORG-008,AST-02773,304,16,11,18,92,8,199,18,0.76,Medium,6.5
IAM-002774,ORG-015,AST-02774,7,1,0,0,31,1,85,16,0.58,High,8.8
IAM-002775,ORG-014,AST-02775,280,14,4,6,82,4,135,13,1.0,Medium,4.5
IAM-002776,ORG-002,AST-02776,410,17,8,35,79,0,47,4,0.46,Low,3.0
IAM-002777,ORG-001,AST-02777,286,2,8,3,79,0,91,18,0.31,Low,4.8
IAM-002778,ORG-015,AST-02778,19,1,0,0,56,1,118,22,0.42,High,7.9
IAM-002779,ORG-009,AST-02779,190,8,2,12,82,2,0,0,0.69,Low,2.6
IAM-002780,ORG-019,AST-02780,153,8,1,0,35,1,150,6,0.97,Low,5.7
IAM-002781,ORG-002,AST-02781,422,20,13,9,47,16,69,0,0.87,High,8.6
IAM-002782,ORG-009,AST-02782,140,12,0,13,70,1,28,2,0.81,Low,2.3
IAM-002783,ORG-013,AST-02783,92,6,4,5,41,3,159,3,0.31,Medium,6.1
IAM-002784,ORG-002,AST-02784,459,10,8,10,83,4,107,16,0.49,Medium,5.1
IAM-002785,ORG-009,AST-02785,326,17,10,16,64,8,4,1,0.93,Medium,5.9
IAM-002786,ORG-008,AST-02786,260,1,7,21,60,0,185,12,0.64,Low,5.6
IAM-002787,ORG-023,AST-02787,364,33,13,27,99,12,150,5,0.41,Medium,4.7
IAM-002788,ORG-022,AST-02788,419,32,12,33,50,29,101,12,0.64,High,9.3
IAM-002789,ORG-011,AST-02789,189,16,2,3,61,1,146,25,0.89,Low,5.4
IAM-002790,ORG-006,AST-02790,82,8,4,2,32,8,200,33,0.49,High,10
IAM-002791,ORG-019,AST-02791,312,20,2,24,45,20,77,5,0.59,High,7.5
