mapping_id,organization_id,control_id,framework,framework_function,framework_category,requirement_id,compliance_status,evidence_available,evidence_quality,gap_score
CMAP-000202,ORG-006,CTRL-0069,NIST Cybersecurity Framework,Govern,Govern,NIST-45,Partially Compliant,True,Weak,0.3
CMAP-000203,ORG-006,CTRL-0069,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-12,Partially Compliant,False,None,0.8
CMAP-000204,ORG-006,CTRL-0069,ISO/IEC 27001,A.8,A.8 Asset Mgmt,ISO/-27,Partially Compliant,False,None,0.64
CMAP-000205,ORG-006,CTRL-0070,NIST Cybersecurity Framework,Recover,Recover,NIST-26,Compliant,True,Strong,0
CMAP-000206,ORG-006,CTRL-0070,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-47,Compliant,True,Strong,0
CMAP-000207,ORG-006,CTRL-0070,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-4,Compliant,True,Strong,0
CMAP-000208,ORG-006,CTRL-0070,RBI Cyber Security Framework,Governance,Governance,RBI -4,Compliant,True,Strong,0
CMAP-000209,ORG-006,CTRL-0071,NIST Cybersecurity Framework,Respond,Respond,NIST-22,Partially Compliant,False,None,0.42
CMAP-000210,ORG-006,CTRL-0071,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-37,Non-Compliant,False,None,0.3
CMAP-000211,ORG-006,CTRL-0072,RBI Cyber Security Framework,Access,Access Control,RBI -43,Non-Compliant,False,None,0.45
CMAP-000212,ORG-006,CTRL-0072,NIST Cybersecurity Framework,Identify,Identify,NIST-17,Partially Compliant,True,Moderate,0.78
CMAP-000213,ORG-006,CTRL-0073,NIST Cybersecurity Framework,Protect,Protect,NIST-30,Non-Compliant,False,None,0.59
CMAP-000214,ORG-006,CTRL-0073,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -3,Partially Compliant,False,None,0.67
CMAP-000215,ORG-006,CTRL-0074,CIS Controls,CIS,CIS 8 Audit Logs,CIS -20,Compliant,True,Strong,0
CMAP-000216,ORG-006,CTRL-0074,RBI Cyber Security Framework,Incident,Incident Response,RBI -38,Compliant,True,Weak,0
CMAP-000217,ORG-006,CTRL-0074,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-49,Compliant,True,Weak,0
CMAP-000218,ORG-006,CTRL-0075,NIST Cybersecurity Framework,Respond,Respond,NIST-48,Partially Compliant,False,None,0.34
CMAP-000219,ORG-006,CTRL-0075,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-3,Partially Compliant,False,None,0.62
CMAP-000220,ORG-006,CTRL-0075,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -44,Non-Compliant,False,None,0.76
CMAP-000221,ORG-006,CTRL-0075,CIS Controls,CIS,CIS 8 Audit Logs,CIS -27,Non-Compliant,False,None,0.75
CMAP-000222,ORG-006,CTRL-0076,NIST Cybersecurity Framework,Protect,Protect,NIST-38,Compliant,True,Strong,0
CMAP-000223,ORG-006,CTRL-0076,CIS Controls,CIS,CIS 8 Audit Logs,CIS -19,Compliant,True,Strong,0
CMAP-000224,ORG-006,CTRL-0076,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-50,Compliant,True,Weak,0
CMAP-000225,ORG-006,CTRL-0077,NIST Cybersecurity Framework,Detect,Detect,NIST-31,Partially Compliant,True,Weak,0.78
CMAP-000226,ORG-006,CTRL-0077,RBI Cyber Security Framework,Incident,Incident Response,RBI -18,Non-Compliant,False,None,0.37
CMAP-000227,ORG-006,CTRL-0077,CIS Controls,CIS,CIS 6 Access Control,CIS -15,Partially Compliant,False,None,0.42
CMAP-000228,ORG-006,CTRL-0077,ISO/IEC 27001,A.8,A.8 Asset Mgmt,ISO/-42,Partially Compliant,True,Moderate,0.5
CMAP-000229,ORG-006,CTRL-0078,NIST Cybersecurity Framework,Identify,Identify,NIST-1,Compliant,True,Strong,0
CMAP-000230,ORG-006,CTRL-0078,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-22,Compliant,True,Moderate,0
CMAP-000231,ORG-006,CTRL-0079,RBI Cyber Security Framework,Incident,Incident Response,RBI -15,Partially Compliant,False,None,0.24
CMAP-000232,ORG-006,CTRL-0079,CIS Controls,CIS,CIS 4 Secure Config,CIS -38,Partially Compliant,True,Moderate,0.8
CMAP-000233,ORG-006,CTRL-0080,CIS Controls,CIS,CIS 4 Secure Config,CIS -40,Non-Compliant,False,None,0.57
CMAP-000234,ORG-006,CTRL-0080,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-48,Non-Compliant,False,None,0.42
CMAP-000235,ORG-006,CTRL-0080,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-4,Non-Compliant,False,None,0.86
CMAP-000236,ORG-006,CTRL-0080,NIST Cybersecurity Framework,Respond,Respond,NIST-28,Non-Compliant,False,None,0.29
CMAP-000237,ORG-006,CTRL-0081,NIST Cybersecurity Framework,Respond,Respond,NIST-13,Partially Compliant,True,Strong,0.82
CMAP-000238,ORG-006,CTRL-0081,SEBI Cybersecurity and Cyber Resilience Framework,Respond,Respond & Recover,SEBI-50,Partially Compliant,False,None,0.21
CMAP-000239,ORG-006,CTRL-0082,ISO/IEC 27001,A.8,A.8 Asset Mgmt,ISO/-34,Partially Compliant,False,None,0.55
CMAP-000240,ORG-006,CTRL-0082,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-38,Partially Compliant,False,None,0.81
CMAP-000241,ORG-007,CTRL-0083,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -27,Partially Compliant,False,None,0.73
CMAP-000242,ORG-007,CTRL-0083,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-5,Non-Compliant,False,None,0.42
CMAP-000243,ORG-007,CTRL-0084,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -30,Partially Compliant,False,None,0.73
CMAP-000244,ORG-007,CTRL-0084,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -13,Partially Compliant,True,Strong,0.7
CMAP-000245,ORG-007,CTRL-0084,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-2,Partially Compliant,False,None,0.58
CMAP-000246,ORG-007,CTRL-0085,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -3,Compliant,True,Weak,0
CMAP-000247,ORG-007,CTRL-0085,NIST Cybersecurity Framework,Detect,Detect,NIST-41,Compliant,True,Moderate,0
CMAP-000248,ORG-007,CTRL-0086,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -42,Compliant,True,Moderate,0
CMAP-000249,ORG-007,CTRL-0086,RBI Cyber Security Framework,Incident,Incident Response,RBI -18,Compliant,True,Weak,0
CMAP-000250,ORG-007,CTRL-0086,ISO/IEC 27001,A.5,A.5 Policies,ISO/-50,Compliant,True,Moderate,0
CMAP-000251,ORG-007,CTRL-0086,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-16,Compliant,True,Strong,0
CMAP-000252,ORG-007,CTRL-0087,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -48,Non-Compliant,False,None,0.83
CMAP-000253,ORG-007,CTRL-0087,NIST Cybersecurity Framework,Protect,Protect,NIST-16,Partially Compliant,True,Strong,0.87
CMAP-000254,ORG-007,CTRL-0088,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -40,Non-Compliant,False,None,0.49
CMAP-000255,ORG-007,CTRL-0088,ISO/IEC 27001,A.6,A.6 Organization,ISO/-28,Partially Compliant,True,Moderate,0.35
CMAP-000256,ORG-007,CTRL-0088,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-50,Partially Compliant,True,Weak,0.53
CMAP-000257,ORG-007,CTRL-0089,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -42,Partially Compliant,False,None,0.2
CMAP-000258,ORG-007,CTRL-0089,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-24,Partially Compliant,False,None,0.82
CMAP-000259,ORG-007,CTRL-0089,RBI Cyber Security Framework,Network,Network Security,RBI -12,Partially Compliant,True,Strong,0.26
CMAP-000260,ORG-007,CTRL-0090,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-11,Compliant,True,Moderate,0
CMAP-000261,ORG-007,CTRL-0090,NIST Cybersecurity Framework,Detect,Detect,NIST-42,Compliant,True,Weak,0
CMAP-000262,ORG-007,CTRL-0090,RBI Cyber Security Framework,Network,Network Security,RBI -7,Compliant,True,Strong,0
CMAP-000263,ORG-007,CTRL-0091,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -23,Partially Compliant,True,Moderate,0.46
CMAP-000264,ORG-007,CTRL-0091,ISO/IEC 27001,A.5,A.5 Policies,ISO/-15,Non-Compliant,False,None,0.35
CMAP-000265,ORG-007,CTRL-0092,ISO/IEC 27001,A.8,A.8 Asset Mgmt,ISO/-4,Partially Compliant,True,Strong,0.27
CMAP-000266,ORG-007,CTRL-0092,CIS Controls,CIS,CIS 6 Access Control,CIS -15,Partially Compliant,True,Moderate,0.54
CMAP-000267,ORG-007,CTRL-0092,NIST Cybersecurity Framework,Identify,Identify,NIST-4,Partially Compliant,True,Moderate,0.38
CMAP-000268,ORG-007,CTRL-0092,RBI Cyber Security Framework,Incident,Incident Response,RBI -45,Partially Compliant,False,None,0.53
CMAP-000269,ORG-007,CTRL-0093,RBI Cyber Security Framework,Incident,Incident Response,RBI -3,Compliant,True,Moderate,0
CMAP-000270,ORG-007,CTRL-0093,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -2,Compliant,True,Strong,0
CMAP-000271,ORG-007,CTRL-0093,ISO/IEC 27001,A.6,A.6 Organization,ISO/-16,Compliant,True,Moderate,0
CMAP-000272,ORG-007,CTRL-0093,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-23,Compliant,True,Weak,0
CMAP-000273,ORG-007,CTRL-0094,NIST Cybersecurity Framework,Detect,Detect,NIST-44,Partially Compliant,True,Moderate,0.53
CMAP-000274,ORG-007,CTRL-0094,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -18,Non-Compliant,False,None,0.4
CMAP-000275,ORG-007,CTRL-0094,RBI Cyber Security Framework,Incident,Incident Response,RBI -27,Partially Compliant,False,None,0.26
CMAP-000276,ORG-008,CTRL-0095,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-8,Partially Compliant,True,Strong,0.81
CMAP-000277,ORG-008,CTRL-0095,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -48,Partially Compliant,True,Strong,0.27
CMAP-000278,ORG-008,CTRL-0095,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-31,Non-Compliant,False,None,0.24
CMAP-000279,ORG-008,CTRL-0095,CIS Controls,CIS,CIS 4 Secure Config,CIS -25,Partially Compliant,False,None,0.4
CMAP-000280,ORG-008,CTRL-0096,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-42,Compliant,True,Weak,0
CMAP-000281,ORG-008,CTRL-0096,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-12,Compliant,True,Weak,0
CMAP-000282,ORG-008,CTRL-0096,CIS Controls,CIS,CIS 4 Secure Config,CIS -39,Compliant,True,Weak,0
CMAP-000283,ORG-008,CTRL-0096,NIST Cybersecurity Framework,Identify,Identify,NIST-39,Compliant,True,Moderate,0
CMAP-000284,ORG-008,CTRL-0097,ISO/IEC 27001,A.5,A.5 Policies,ISO/-42,Non-Compliant,False,None,0.74
CMAP-000285,ORG-008,CTRL-0097,NIST Cybersecurity Framework,Detect,Detect,NIST-10,Non-Compliant,False,None,0.31
CMAP-000286,ORG-008,CTRL-0098,ISO/IEC 27001,A.6,A.6 Organization,ISO/-15,Compliant,True,Weak,0
CMAP-000287,ORG-008,CTRL-0098,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -48,Compliant,True,Weak,0
CMAP-000288,ORG-008,CTRL-0098,NIST Cybersecurity Framework,Detect,Detect,NIST-19,Compliant,True,Strong,0
CMAP-000289,ORG-008,CTRL-0098,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -18,Compliant,True,Weak,0
CMAP-000290,ORG-008,CTRL-0099,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-20,Non-Compliant,False,None,0.72
CMAP-000291,ORG-008,CTRL-0099,NIST Cybersecurity Framework,Recover,Recover,NIST-45,Partially Compliant,False,None,0.43
CMAP-000292,ORG-008,CTRL-0100,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-50,Non-Compliant,False,None,0.62
CMAP-000293,ORG-008,CTRL-0100,CIS Controls,CIS,CIS 6 Access Control,CIS -10,Non-Compliant,False,None,0.57
CMAP-000294,ORG-008,CTRL-0100,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-5,Partially Compliant,False,None,0.31
CMAP-000295,ORG-008,CTRL-0101,NIST Cybersecurity Framework,Detect,Detect,NIST-13,Non-Compliant,False,None,0.89
CMAP-000296,ORG-008,CTRL-0101,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -25,Partially Compliant,False,None,0.81
CMAP-000297,ORG-008,CTRL-0102,CIS Controls,CIS,CIS 4 Secure Config,CIS -27,Partially Compliant,False,None,0.86
CMAP-000298,ORG-008,CTRL-0102,NIST Cybersecurity Framework,Recover,Recover,NIST-26,Partially Compliant,True,Strong,0.43
CMAP-000299,ORG-008,CTRL-0103,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -7,Compliant,True,Weak,0
CMAP-000300,ORG-008,CTRL-0103,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-22,Compliant,True,Weak,0
CMAP-000301,ORG-008,CTRL-0103,NIST Cybersecurity Framework,Detect,Detect,NIST-40,Compliant,True,Moderate,0
CMAP-000302,ORG-008,CTRL-0103,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-28,Compliant,True,Strong,0
CMAP-000303,ORG-008,CTRL-0104,CIS Controls,CIS,CIS 8 Audit Logs,CIS -19,Compliant,True,Weak,0
CMAP-000304,ORG-008,CTRL-0104,NIST Cybersecurity Framework,Govern,Govern,NIST-15,Compliant,True,Moderate,0
CMAP-000305,ORG-008,CTRL-0104,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-2,Compliant,True,Weak,0
CMAP-000306,ORG-008,CTRL-0104,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-1,Compliant,True,Moderate,0
CMAP-000307,ORG-008,CTRL-0105,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-32,Partially Compliant,False,None,0.23
CMAP-000308,ORG-008,CTRL-0105,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-46,Partially Compliant,True,Strong,0.5
CMAP-000309,ORG-008,CTRL-0105,CIS Controls,CIS,CIS 8 Audit Logs,CIS -30,Non-Compliant,False,None,0.58
CMAP-000310,ORG-008,CTRL-0105,NIST Cybersecurity Framework,Identify,Identify,NIST-42,Non-Compliant,False,None,0.44
CMAP-000311,ORG-008,CTRL-0106,NIST Cybersecurity Framework,Detect,Detect,NIST-12,Non-Compliant,False,None,0.3
CMAP-000312,ORG-008,CTRL-0106,RBI Cyber Security Framework,Network,Network Security,RBI -13,Non-Compliant,False,None,0.21
CMAP-000313,ORG-008,CTRL-0106,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-16,Non-Compliant,False,None,0.58
CMAP-000314,ORG-008,CTRL-0106,CIS Controls,CIS,CIS 4 Secure Config,CIS -16,Non-Compliant,False,None,0.57
CMAP-000315,ORG-008,CTRL-0107,NIST Cybersecurity Framework,Protect,Protect,NIST-15,Non-Compliant,False,None,0.26
CMAP-000316,ORG-008,CTRL-0107,RBI Cyber Security Framework,Access,Access Control,RBI -41,Partially Compliant,False,None,0.24
CMAP-000317,ORG-008,CTRL-0107,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-20,Partially Compliant,False,None,0.33
CMAP-000318,ORG-008,CTRL-0107,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-15,Partially Compliant,False,None,0.67
CMAP-000319,ORG-008,CTRL-0108,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-2,Non-Compliant,False,None,0.81
CMAP-000320,ORG-008,CTRL-0108,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-26,Partially Compliant,False,None,0.86
CMAP-000321,ORG-008,CTRL-0109,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -43,Compliant,True,Strong,0
CMAP-000322,ORG-008,CTRL-0109,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-43,Compliant,True,Strong,0
CMAP-000323,ORG-008,CTRL-0109,NIST Cybersecurity Framework,Identify,Identify,NIST-20,Compliant,True,Moderate,0
CMAP-000324,ORG-008,CTRL-0109,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-38,Compliant,True,Strong,0
CMAP-000325,ORG-008,CTRL-0110,CIS Controls,CIS,CIS 8 Audit Logs,CIS -23,Compliant,True,Weak,0
CMAP-000326,ORG-008,CTRL-0110,NIST Cybersecurity Framework,Detect,Detect,NIST-21,Compliant,True,Weak,0
CMAP-000327,ORG-008,CTRL-0110,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-5,Compliant,True,Weak,0
CMAP-000328,ORG-008,CTRL-0111,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -2,Compliant,True,Moderate,0
CMAP-000329,ORG-008,CTRL-0111,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-23,Compliant,True,Weak,0
CMAP-000330,ORG-008,CTRL-0111,RBI Cyber Security Framework,Network,Network Security,RBI -8,Compliant,True,Strong,0
CMAP-000331,ORG-008,CTRL-0112,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-21,Partially Compliant,False,None,0.69
CMAP-000332,ORG-008,CTRL-0112,NIST Cybersecurity Framework,Protect,Protect,NIST-11,Non-Compliant,False,None,0.38
CMAP-000333,ORG-008,CTRL-0112,CIS Controls,CIS,CIS 8 Audit Logs,CIS -11,Partially Compliant,True,Weak,0.53
CMAP-000334,ORG-008,CTRL-0113,NIST Cybersecurity Framework,Respond,Respond,NIST-20,Non-Compliant,False,None,0.82
CMAP-000335,ORG-008,CTRL-0113,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -18,Non-Compliant,False,None,0.29
CMAP-000336,ORG-008,CTRL-0114,ISO/IEC 27001,A.6,A.6 Organization,ISO/-45,Non-Compliant,False,None,0.23
CMAP-000337,ORG-008,CTRL-0114,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-3,Non-Compliant,False,None,0.48
CMAP-000338,ORG-008,CTRL-0114,NIST Cybersecurity Framework,Respond,Respond,NIST-35,Partially Compliant,True,Weak,0.3
CMAP-000339,ORG-008,CTRL-0115,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -45,Non-Compliant,False,None,0.53
CMAP-000340,ORG-008,CTRL-0115,NIST Cybersecurity Framework,Recover,Recover,NIST-48,Non-Compliant,False,None,0.69
CMAP-000341,ORG-008,CTRL-0116,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -18,Partially Compliant,False,None,0.27
CMAP-000342,ORG-008,CTRL-0116,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -30,Non-Compliant,False,None,0.8
CMAP-000343,ORG-009,CTRL-0117,RBI Cyber Security Framework,Incident,Incident Response,RBI -14,Non-Compliant,False,None,0.23
CMAP-000344,ORG-009,CTRL-0117,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-24,Partially Compliant,False,None,0.33
CMAP-000345,ORG-009,CTRL-0118,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -48,Partially Compliant,True,Strong,0.83
CMAP-000346,ORG-009,CTRL-0118,CIS Controls,CIS,CIS 6 Access Control,CIS -1,Non-Compliant,False,None,0.44
CMAP-000347,ORG-009,CTRL-0119,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -36,Partially Compliant,False,None,0.68
CMAP-000348,ORG-009,CTRL-0119,NIST Cybersecurity Framework,Identify,Identify,NIST-18,Partially Compliant,True,Moderate,0.56
CMAP-000349,ORG-009,CTRL-0120,CIS Controls,CIS,CIS 8 Audit Logs,CIS -24,Partially Compliant,True,Weak,0.48
CMAP-000350,ORG-009,CTRL-0120,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-3,Non-Compliant,False,None,0.67
CMAP-000351,ORG-009,CTRL-0121,CIS Controls,CIS,CIS 6 Access Control,CIS -24,Compliant,True,Strong,0
CMAP-000352,ORG-009,CTRL-0121,ISO/IEC 27001,A.17,A.17 BCM,ISO/-5,Compliant,True,Strong,0
CMAP-000353,ORG-009,CTRL-0122,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -8,Partially Compliant,False,None,0.57
CMAP-000354,ORG-009,CTRL-0122,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -15,Non-Compliant,False,None,0.31
CMAP-000355,ORG-009,CTRL-0122,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-3,Partially Compliant,True,Moderate,0.72
CMAP-000356,ORG-009,CTRL-0123,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-50,Partially Compliant,False,None,0.63
CMAP-000357,ORG-009,CTRL-0123,NIST Cybersecurity Framework,Identify,Identify,NIST-41,Non-Compliant,False,None,0.85
CMAP-000358,ORG-009,CTRL-0124,NIST Cybersecurity Framework,Identify,Identify,NIST-3,Non-Compliant,False,None,0.71
CMAP-000359,ORG-009,CTRL-0124,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-38,Partially Compliant,True,Moderate,0.67
CMAP-000360,ORG-009,CTRL-0125,CIS Controls,CIS,CIS 6 Access Control,CIS -40,Non-Compliant,False,None,0.3
CMAP-000361,ORG-009,CTRL-0125,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-36,Non-Compliant,False,None,0.43
CMAP-000362,ORG-009,CTRL-0126,ISO/IEC 27001,A.6,A.6 Organization,ISO/-19,Non-Compliant,False,None,0.72
CMAP-000363,ORG-009,CTRL-0126,NIST Cybersecurity Framework,Protect,Protect,NIST-16,Partially Compliant,False,None,0.31
CMAP-000364,ORG-009,CTRL-0127,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -20,Compliant,True,Weak,0
CMAP-000365,ORG-009,CTRL-0127,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-48,Compliant,True,Moderate,0
CMAP-000366,ORG-009,CTRL-0127,NIST Cybersecurity Framework,Govern,Govern,NIST-35,Compliant,True,Strong,0
CMAP-000367,ORG-009,CTRL-0128,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-2,Partially Compliant,False,None,0.78
CMAP-000368,ORG-009,CTRL-0128,RBI Cyber Security Framework,Network,Network Security,RBI -39,Partially Compliant,True,Weak,0.32
CMAP-000369,ORG-009,CTRL-0129,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -40,Non-Compliant,False,None,0.55
CMAP-000370,ORG-009,CTRL-0129,NIST Cybersecurity Framework,Respond,Respond,NIST-48,Partially Compliant,True,Weak,0.76
CMAP-000371,ORG-009,CTRL-0129,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-38,Non-Compliant,False,None,0.73
CMAP-000372,ORG-009,CTRL-0129,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -33,Non-Compliant,False,None,0.33
CMAP-000373,ORG-010,CTRL-0130,RBI Cyber Security Framework,Governance,Governance,RBI -39,Partially Compliant,True,Strong,0.4
CMAP-000374,ORG-010,CTRL-0130,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-45,Non-Compliant,False,None,0.54
CMAP-000375,ORG-010,CTRL-0130,NIST Cybersecurity Framework,Recover,Recover,NIST-8,Non-Compliant,False,None,0.21
CMAP-000376,ORG-010,CTRL-0131,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -48,Non-Compliant,False,None,0.23
CMAP-000377,ORG-010,CTRL-0131,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -14,Partially Compliant,True,Strong,0.74
CMAP-000378,ORG-010,CTRL-0131,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-9,Non-Compliant,False,None,0.4
CMAP-000379,ORG-010,CTRL-0131,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-17,Partially Compliant,False,None,0.84
CMAP-000380,ORG-010,CTRL-0132,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-33,Partially Compliant,True,Moderate,0.61
CMAP-000381,ORG-010,CTRL-0132,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-26,Non-Compliant,False,None,0.27
CMAP-000382,ORG-010,CTRL-0132,RBI Cyber Security Framework,Network,Network Security,RBI -5,Non-Compliant,False,None,0.21
CMAP-000383,ORG-010,CTRL-0132,NIST Cybersecurity Framework,Respond,Respond,NIST-26,Partially Compliant,True,Weak,0.58
CMAP-000384,ORG-010,CTRL-0133,ISO/IEC 27001,A.17,A.17 BCM,ISO/-39,Compliant,True,Weak,0
CMAP-000385,ORG-010,CTRL-0133,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-46,Compliant,True,Strong,0
CMAP-000386,ORG-010,CTRL-0133,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -5,Compliant,True,Moderate,0
CMAP-000387,ORG-010,CTRL-0134,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-5,Partially Compliant,True,Weak,0.48
CMAP-000388,ORG-010,CTRL-0134,NIST Cybersecurity Framework,Detect,Detect,NIST-3,Non-Compliant,False,None,0.57
CMAP-000389,ORG-010,CTRL-0134,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-3,Non-Compliant,False,None,0.21
CMAP-000390,ORG-010,CTRL-0134,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -1,Non-Compliant,False,None,0.63
CMAP-000391,ORG-010,CTRL-0135,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-17,Non-Compliant,False,None,0.28
CMAP-000392,ORG-010,CTRL-0135,NIST Cybersecurity Framework,Detect,Detect,NIST-26,Partially Compliant,False,None,0.8
CMAP-000393,ORG-010,CTRL-0135,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-7,Non-Compliant,False,None,0.79
CMAP-000394,ORG-010,CTRL-0136,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-45,Partially Compliant,False,None,0.52
CMAP-000395,ORG-010,CTRL-0136,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -7,Non-Compliant,False,None,0.4
CMAP-000396,ORG-010,CTRL-0137,NIST Cybersecurity Framework,Detect,Detect,NIST-41,Partially Compliant,False,None,0.54
CMAP-000397,ORG-010,CTRL-0137,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -22,Non-Compliant,False,None,0.6
CMAP-000398,ORG-010,CTRL-0137,RBI Cyber Security Framework,Incident,Incident Response,RBI -10,Partially Compliant,True,Moderate,0.82
CMAP-000399,ORG-010,CTRL-0138,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -3,Compliant,True,Weak,0
CMAP-000400,ORG-010,CTRL-0138,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-49,Compliant,True,Strong,0
CMAP-000401,ORG-010,CTRL-0138,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-46,Compliant,True,Moderate,0
